murdock_name,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
KONSO,KEN,3,2,2,0,0
KUNDA,ZMB,1,1,1,1,
KWANGARE,NAM,2.5164835,1.9890109,1.9444444,1.8666667,1.9878049
KWENA,LSO,1.5177112,1.1548913,1.2697548,1.0983607,1.7206349
KWERE,TZA,2,1,3,2,0
LAKA (NDEBELE),ZAF,2.1627908,1.6511627,1.6829268,1.1282052,1.5365853
LALA,ZMB,2.3,1.6,1.6,1,1.375
LAMBA,ZMB,1.6666666,1.3333334,1.3333334,1,1.3333334
LAMBYA,MWI,2.875,2.4375,2.25,1.5625,2.0714285
LENJE,ZMB,1.92,1.12,1.5599999,1.16,1.4090909
LOMWE,MWI,2.1657143,2.0171428,1.9655173,1.7183908,1.6392405
LOZI,ZMB,2.3878789,1.660606,1.6242424,1.2969697,1.3375796
LUCHAZI,ZMB,2.6666667,2.3333333,2.3333333,1.3333334,.66666669
LUGBARA,UGA,2.3305085,2.1025641,2.0756302,1.6410257,1.9579831
LUGURU,TZA,2.5833333,2.1944444,1.9722222,1.8611112,2.0277777
LUNDA,ZMB,2.173913,1.6521739,1.9130435,1.4347826,1.15
LUNGU,ZMB,2.6190476,1.9047619,1.9047619,1.7142857,1.2105263
LUO,UGA,2.0910852,1.8042636,1.8504854,1.4223969,1.7435387
LUVALE,ZMB,2.1923077,1.8076923,1.7884616,1.5961539,1.4038461
MADI,UGA,2.3829787,2.1702127,2.1063831,1.6521739,2.1276596
MAHAFALY,MDG,2.675,2.0999999,2.0999999,1.65,2
MAKONDE,TZA,2.6105263,1.9361702,1.9782609,1.7802198,2.284091
MAKUA,MOZ,2.7100456,2.121839,2.025701,1.647619,2.4297082
MALINKE,MLI,2.4958677,2.1900826,2.1157024,1.7583333,2.0431035
MASAI,TZA,2.125,1.75,1.6666666,1.2916666,1.5217391
MASHI,ZMB,3,3,2,1,3
MASINA,MLI,2.7272727,2.2545455,2.1757576,1.9878049,2.1913581
MAURI,MLI,2.909091,2.2727273,2.6363637,2.1818182,1.9090909
MBUKUSHU,BWA,1.8,1.7,1.35,1.2,2.1578948
MBUNDA,ZMB,2.75,2.25,2.25,2.0833333,1.8333334
MBUNDU,NAM,3,2,1,1,2
MERINA,MDG,2.1233597,1.6194226,1.5079365,1.2432432,1.6657459
MERU,KEN,2.3863637,1.9772727,1.6477273,1.1547619,1.7647059
MINIANKA,MLI,2.5757575,1.6969697,1.939394,1.4375,2.2258065
MOSSI,MLI,2.4000001,2.2,2.0999999,1.8888888,1.8
MURLE,KEN,2.5,3,2.6666667,2,1
NAMA,NAM,2.1707318,1.2439024,1.0243902,1,1.5517242
NANDI,KEN,2,2,1,1,2
NDAU,MOZ,2.6555555,2.011236,1.9325843,1.8764045,2.1940298
NDEBELE,ZWE,3,3,3,3,1.0773809
NGONI,TZA,2.4175258,2.1855669,2.2371135,1.796875,1.7314286
NGWAKETSE,BWA,1.5046729,1.1037736,1.1320754,1.0576923,1.9117647
NGWATO,BWA,1.7736843,1.3210527,1.3817204,1.2010581,1.8406594
NIKA,KEN,2.3214285,1.8571428,1.7857143,1,1.074074
NKOLE,UGA,2.2447553,1.7412587,1.5929824,1.1403508,2.330986
NKOYA,ZMB,2.4000001,1.8,2,1.75,1.75
NSENGA,ZMB,2.2747252,1.7032967,1.7032967,1.4395604,1.4712644
NUPE,NGA,1.8666667,1.6333333,1.6,1.1666666,.93333334
NUSAN,BWA,2.0769231,1.6799999,1.36,1.16,2.0799999
NYAKYUSA,UGA,2.5964913,2.2456141,2.2807016,1.9824561,2.2452831
NYAMWEZI,TZA,2.4150944,2.0943396,2.1320755,1.8490566,2.490196
NYANJA,MWI,2.509804,2.009804,2.0396039,1.7352941,1.9450549
NYORO,UGA,2.25,1.6588235,1.6626506,1.4047619,2.1071429
PARE,TZA,2.4285715,2.05,1.9047619,1.65,2
PEDI,ZAF,2.1437125,1.2874252,1.0963856,.86144578,1.449367
PEPEL,SEN,2.9411764,2.4705882,2.3529413,2.2941177,2.1333334
ROLONG,BWA,1.6315789,1.027027,1.2105263,1,1.7894737
RUANDA,UGA,2.3620689,1.8965517,1.7586207,1.2068965,2.4385965
SABEI,KEN,2.3571429,2.0714285,2,1.7142857,1.5714285
SAKALAVA,MDG,2.1764705,1.6638656,1.6302521,1.4152542,1.4778761
SAMO,MLI,2.5714285,1.8571428,2.2857144,1.4285715,1.8571428
SENA,MOZ,2.6148148,2.1481481,2.1851852,2.0225563,2.2264152
SENGA,ZMB,2.6666667,1.5,2,.66666669,2
SENUFO,MLI,2.6341465,1.804878,1.975,1.7073171,2
SERER,SEN,2.8671329,2.4225352,2.35461,2.1357143,2.1968503
SHEBELLE,KEN,3,3,3,2,2
SHUWA,NGA,2.6666667,2.3333333,2.6666667,2,2.3333333
SIHANAKA,MDG,1.8372093,1.5813954,1.6046512,1.3,1.6190476
SOGA,UGA,2.1254356,1.6341463,1.5783972,1.0704225,2.3031359
SOMBA,BEN,2.5857143,2.2086332,2.2086332,1.8188406,2.1052632
SONGHAI,MLI,2.7142856,2.1596639,2.0588236,1.2649573,2.1351352
SONINKE,MLI,2.496124,2.0852714,2.2480621,1.5984251,2.184
SOTHO,LSO,1.7689394,1.3918406,1.5317535,1.2934473,1.7831753
SUBIA,BWA,2,1.5833334,1.0833334,.83333331,1.3636364
SUK,KEN,2.0689654,1.8965517,1.7931035,1.4482758,1.8
SUKUMA,TZA,2.6601942,2.3737864,2.3560975,2.004878,2.4242425
SWAZI,ZAF,2.3255813,1.5647058,1.5731708,1.1666666,1.0361446
TABWA,ZMB,3,3,3,1,3
TANALA,MDG,2.0526316,1.7105263,1.5526316,1.1891892,1.4705882
TAWANA,BWA,2.1578948,1.5789474,1.2631578,1.1052631,1.9473684
TEITA,KEN,2.2222223,1.8888888,1.5555556,1.2222222,1
TEKNA,MLI,3,2.5999999,2,1.2,2.8
TESO,UGA,2.1363637,1.9545455,2.1420455,1.4375,1.9034091
THONGA,MOZ,2.2241888,1.5870206,1.5636364,1.2813456,1.8333334
TIV,NGA,2.2903225,1.483871,1.5806452,1.3870968,1.2258065
TLOKWA,BWA,1.7943262,1.3404255,1.3758866,1.2071428,1.8839285
TONGA,ZMB,2.0476191,1.4232805,1.4338624,1.0425532,1.09375
