NAME,TRIBE_CODE,LAT,LON,land_area,atlantic_,atlantic1,atlantic2,atlantic3,indiannum,indianall,indian_n1,indian_n2,indian_n3,atlantica,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
EKONDA,"201",-2.00106000000,18.72590000000,"66480.46879773129","0","0","0","118","0","0","0","0","0","118",,,,,,
ESA,"202",10.36270000000,42.76430000000,"45075.51637136846","0","0","0","0","0","0","0","0","0","0",,,,,,
EWE,"203",6.61175048012,0.85387536195,"15942.67769503848","12","60342","494825","45903","0","0","0","0","0","601082",GHA,2.0679011,1.6375,1.6604939,1.2922078,1.4645162
FAJULU,"204",4.65689499744,31.02890000000,"15329.30926200562","0","0","0","0","0","0","0","0","0","0",UGA,2,1.5,1.6666666,1.2727273,1.8181819
FALI,"205",9.79576360931,13.66570000000,"3067.225199339444","0","0","0","0","0","0","0","0","0","0",,,,,,
FANG,"206",1.73031965118,11.74810000000,"169050.635294606","0","0","1619","241","0","0","0","0","0","1860",,,,,,
FANTI,"207",5.44120813799,-0.94084000000,"6280.302342917877","0","0","20428","1057","0","0","0","0","0","21485",,,,,,
FANYAN,"208",10.74800000000,18.95970000000,"7330.920508339507","0","0","0","0","0","0","0","0","0","0",,,,,,
FERTIT,"209",9.60453094502,25.93140000000,"16877.86548693337","0","0","0","0","0","0","0","0","0","0",,,,,,
FEZARA,"210",14.11560000000,30.08470000000,"58789.35468913146","0","0","0","0","0","0","0","0","0","0",,,,,,
FEZZAN,"211",26.20780000000,15.13470000000,"144277.9702414044","0","0","0","0","0","0","0","0","0","0",,,,,,
FIA,"212",4.81683165152,11.32830000000,"6711.656395383877","0","0","0","188","0","0","0","0","0","188",,,,,,
FIGIG,"213",32.13200000000,-0.86036600000,"13189.23605401358","0","0","0","0","0","0","0","0","0","0",,,,,,
FILALA,"214",31.44600000000,-4.42323000000,"17226.98044112893","0","0","0","0","0","0","0","0","0","0",,,,,,
FIPA,"215",-7.72591000000,31.24100000000,"13914.98056964021","0","0","0","0","532","2262","266","571","893","0",TZA,2.3589745,2.3333333,2.3076923,1.8717948,2.4594595
FON,"216",7.20906545173,2.10309690410,"22676.35825429556","17","85828","703823","65290","0","0","0","0","0","854958",BEN,1.5531296,1.1455604,1.1557497,0.96929824,1.4153847
FOUTADJALON,"217",11.49760000000,-12.44000000000,"74029.517415407","496","121","9057","18462","0","0","0","0","0","28136",,,,,,
FOUTATORO,"218",15.30080000000,-14.61550000000,"52548.72766460432","0","0","26995","1750","0","0","0","0","0","28745",SEN,2.8451178,2.6033897,2.3959045,2.0804195,1.9435484
FUNGON,"219",6.76714496244,10.26520000000,"4257.424081753073","0","0","0","0","0","0","0","0","0","0",,,,,,
FUR,"220",12.84530000000,23.73170000000,"56093.45853291681","0","0","0","0","0","0","0","0","0","0",,,,,,
FUT,"221",6.07779340568,10.19260000000,"1628.442730909057","0","0","0","94","0","0","0","0","0","94",,,,,,
GA,"222",5.70048550335,-0.19341400000,"1680.910926047111","0","0","0","0","0","0","0","0","0","0",GHA,1.826087,1.2647059,1.25,1.0588236,1.4461539
GAALIIN,"223",17.25470000000,33.14690000000,"59193.70900595701","0","0","0","0","0","0","0","0","0","0",,,,,,
GABERI,"224",9.36655894148,16.40570000000,"9968.117516263455","0","0","0","0","0","0","0","0","0","0",,,,,,
GADAMES,"225",30.36620000000,9.49852656054,"8773.232123370864","0","0","0","0","0","0","0","0","0","0",,,,,,
GAFSA,"226",34.43840000000,8.86014255245,"3516.715330514571","0","0","0","0","0","0","0","0","0","0",,,,,,
GAGU,"227",6.40954701515,-5.66026000000,"3025.614573026014","0","0","0","0","0","0","0","0","0","0",,,,,,
GALIM,"228",7.48468594161,12.63960000000,"1553.716472349858","0","0","0","0","0","0","0","0","0","0",,,,,,
GAN,"229",7.73358380519,-4.15143000000,"3023.756026838714","0","0","0","0","0","0","0","0","0","0",,,,,,
GANDA,"230",0.41789597415,31.97050000000,"43291.27838375982","0","0","0","877","818","3479","409","878","1374","877",UGA,1.9954853,1.544018,1.3922902,1.1108598,2.1252847
GBANDE,"231",7.77450181504,-9.90888000000,"7212.406068587801","0","0","0","57","0","0","0","0","0","57",,,,,,
GBARI,"232",9.72076714940,7.07134888062,"30784.91180181955","0","0","980","415","0","0","0","0","0","1395",NGA,2,1.7058823,1.5294118,1.5294118,1.0588236
GERAWA,"233",10.62370000000,9.92368023010,"10250.95740358709","0","0","0","0","0","0","0","0","0","0",,,,,,
GERI,"234",9.13625814462,42.97820000000,"9841.309625027347","0","0","0","0","0","0","0","0","0","0",,,,,,
GIBE,"235",7.98232541712,36.73350000000,"14628.92804574135","0","0","0","0","0","0","0","0","0","0",,,,,,
GIL,"236",32.88220000000,-2.24095000000,"40388.40883756306","0","0","0","0","0","0","0","0","0","0",,,,,,
GILI,"237",8.49619464722,8.85608220298,"1918.395470784666","0","0","0","0","0","0","0","0","0","0",,,,,,
GIMIRA,"238",6.96297467812,35.45730000000,"7779.257922647528","0","0","0","0","0","0","0","0","0","0",,,,,,
GIMMA,"239",12.96690000000,32.46530000000,"20966.04526009124","0","0","0","0","0","0","0","0","0","0",,,,,,
GISIGA,"240",10.68620000000,14.49860000000,"5800.102870578579","0","0","0","0","0","0","0","0","0","0",,,,,,
GISU,"241",1.29789780877,34.26150000000,"3714.041698007975","0","0","0","0","0","0","0","0","0","0",UGA,2.0434783,1.6847826,1.7802198,1.2307693,2.3707864
GOBU,"242",4.65279186493,19.83350000000,"8932.224609616071","0","0","0","0","0","0","0","0","0","0",,,,,,
GOGO,"243",-6.19906000000,35.65110000000,"33340.36831853002","0","0","0","0","532","2262","266","571","893","0",TZA,2.59375,2.4375,2.25,1.71875,2.375
GOLA,"244",7.14113737566,-10.53860000000,"8882.865006593765","0","0","544","1371","0","0","0","0","0","1915",,,,,,
GOMANI,"245",-14.21280000000,34.39550000000,"10401.34121610943","0","0","0","0","0","0","0","0","0","0",,,,,,
GOROA,"246",-4.23388000000,35.90710000000,"3783.84367403119","0","0","0","0","0","0","0","0","0","0",,,,,,
GOSHA,"247",0.81054472516,42.81910000000,"4179.286486924449","0","0","0","0","0","0","0","0","0","0",,,,,,
GREBO,"248",4.92475958399,-7.65541000000,"10111.01267074232","0","0","0","0","0","0","0","0","0","0",,,,,,
GRUNSHI,"249",10.79360000000,-1.54884000000,"13593.7366656263","0","0","0","1191","0","0","0","0","0","1191",,,,,,
GUANCHE,"250",28.33540000000,-15.67350000000,"7508.77047870608","0","0","0","0","0","0","0","0","0","0",,,,,,
GUANG,"251",9.07925336176,-1.31821000000,"32701.41008738195","0","0","106516","0","0","0","0","0","0","106516",,,,,,
GUDE,"252",10.20390000000,13.78170000000,"5074.865223361596","0","0","12236","377","0","0","0","0","0","12613",,,,,,
GUIN,"253",10.19410000000,-4.70708000000,"5493.407638925229","0","0","0","0","0","0","0","0","0","0",,,,,,
GULA,"254",9.49207568375,20.32220000000,"36228.89546801612","0","0","0","34","0","0","0","0","0","34",,,,,,
GULE,"255",11.82610000000,34.33970000000,"11178.42246577903","0","0","0","0","0","0","0","0","0","0",,,,,,
GUMUZ,"256",11.38900000000,35.64580000000,"21260.98252153284","0","0","0","0","0","0","0","0","0","0",,,,,,
GUN,"257",6.61131893185,2.76047831654,"2755.920735277058","41","69693","0","0","0","0","0","0","0","69734",,,,,,
GURAGE,"258",7.88563713495,38.61010000000,"11926.43692052129","0","0","0","0","0","0","0","0","0","0",,,,,,
GURENSI,"259",10.82250000000,-0.43913200000,"6674.053902015748","0","0","0","0","0","0","0","0","0","0",,,,,,
GURMA,"260",12.08930000000,1.23224330458,"55168.5732502129","0","0","156630","1020","0","0","0","0","0","157650",,,,,,
GURO,"261",7.36257295707,-6.01669000000,"18632.90251868927","0","0","0","0","0","0","0","0","0","0",,,,,,
GUSII,"262",-1.16014000000,34.47870000000,"8817.91545654931","0","0","0","0","0","0","0","0","0","0",KEN,1.8558558,1.4684684,1.4324324,1.119266,1.3831775
GWANDARA,"263",8.74125903660,7.89049427992,"6733.820055639422","0","0","0","0","0","0","0","0","0","0",,,,,,
GYRIAMA,"264",-3.24841000000,39.53990000000,"6168.820637808236","0","0","0","0","0","0","0","0","0","0",KEN,2.3913043,2.0434783,1.6956521,1.2173913,0.89999998
HA,"265",-4.45409000000,30.62850000000,"32054.43102938816","0","0","0","0","184","783","92","198","309","0",,,,,,
HABBANIA,"266",11.02740000000,25.23440000000,"93229.17695471161","0","0","0","0","0","0","0","0","0","0",,,,,,
HADENDOWA,"267",17.39620000000,36.22430000000,"99730.0090510364","0","0","0","0","0","0","0","0","0","0",,,,,,
HADIMU,"268",-6.13522000000,39.35420000000,"1592.3322722585","0","0","0","0","10085","42889","5042","10827","16935","0",,,,,,
HAMAMA,"269",35.05170000000,9.10896733942,"41691.8490071529","0","0","0","0","0","0","0","0","0","0",,,,,,
HAMAR,"270",12.75020000000,27.84430000000,"42804.28721895425","0","0","0","0","0","0","0","0","0","0",,,,,,
HAMYAN,"271",34.48240000000,1.41010833389,"109327.8037741435","0","0","0","0","0","0","0","0","0","0",,,,,,
HARARI,"272",9.22359548378,42.25000000000,"2617.948486442064","0","0","0","0","0","0","0","0","0","0",,,,,,
HASANIA,"273",14.59690000000,32.32670000000,"12447.6683802629","0","0","0","0","0","0","0","0","0","0",,,,,,
HAUSA,"274",12.37220000000,7.14883056262,"134902.3545302901","0","0","106241","24307","0","0","0","0","0","130548",NGA,2.225564,1.956848,1.7969925,1.3752381,1.1179883
HAWIYA,"275",4.65335305401,46.74320000000,"110700.7958417262","0","0","0","0","0","0","0","0","0","0",KEN,2.5,3,2.6666667,1,1
HAYA,"276",-1.61574000000,31.29630000000,"13708.15433500284","0","0","0","0","0","0","0","0","0","0",TZA,2.4666667,2.1333334,2.0444446,1.5777777,2.8
HEHE,"277",-7.69466000000,35.40180000000,"33651.6288081005","0","0","0","0","941","4001","470","1010","1580","0",TZA,2.1142857,1.8285714,1.8571428,1.4857143,2.3142858
HEIKUM,"278",-19.64850000000,18.42210000000,"60903.49749032147","0","0","0","0","0","0","0","0","0","0",,,,,,
HEMAT,"279",11.85810000000,20.17800000000,"43430.35911680274","0","0","0","0","0","0","0","0","0","0",,,,,,
HERERO,"280",-19.94930000000,15.22230000000,"268671.8232263768","0","0","0","0","0","0","0","0","0","0",NAM,2,1.4946237,1.3152174,1.25,1.5444444
HIECHWARE,"281",-19.75820000000,25.81840000000,"95816.4148952089","0","0","0","0","0","0","0","0","0","0",,,,,,
HLENGWE,"282",-22.49090000000,33.29650000000,"131671.7235612555","0","0","0","0","0","0","0","0","0","0",,,,,,
HOLO,"283",-8.26189000000,17.41150000000,"11802.32997527928","0","0","0","197","0","0","0","0","0","197",,,,,,
HOLOHOLO,"284",-6.43508000000,29.22460000000,"7937.038571720463","0","0","0","0","61","261","31","66","103","0",,,,,,
HUNDE,"285",-1.02756000000,28.62050000000,"18283.6130434182","0","0","0","0","0","0","0","0","0","0",,,,,,
HURUTSHE,"286",-26.06100000000,27.00600000000,"36090.67546465627","0","0","0","0","0","0","0","0","0","0",BWA,1.5897436,1.051282,1.1842105,1.2631578,2.0285714
IBIBIO,"287",4.83575515252,8.06200384189,"8321.927162333075","0","0","27638","21170","0","0","0","0","0","48808",NGA,1.4148936,1.0860215,0.90425533,0.79787236,0.93103451
IBO,"288",5.86896485197,7.32060279209,"35883.77754557318","16","39141","253253","108752","0","0","0","0","0","401162",NGA,1.52,0.97647059,0.78588235,0.64691943,0.60386473
IDIO,"289",4.54430665771,30.52750000000,"1357.115640945036","0","0","0","0","0","0","0","0","0","0",,,,,,
IDOMA,"290",7.44629372247,7.99385609791,"8039.785703534521","0","0","0","0","0","0","0","0","0","0",NGA,1.8461539,1.1538461,0.65384614,0.34615386,0.66666669
IFE,"291",7.45850243480,4.79003521166,"5414.013457930613","0","0","0","36","0","0","0","0","0","36",,,,,,
IFORA,"292",20.51260000000,2.52264525823,"90489.11096002147","0","0","0","0","0","0","0","0","0","0",,,,,,
IGALA,"293",7.20654727751,7.30398184215,"9880.509485359808","0","0","0","0","0","0","0","0","0","0",NGA,1.8157895,1.1794872,1.1025641,0.78947371,0.76923078
IGBIRA,"294",7.91919697652,6.72647894419,"6377.0543143539","0","0","0","631","0","0","0","0","0","631",NGA,1.8214285,1.1428572,0.85714287,0.53571427,0.92307693
IJAW,"295",4.80695529987,6.27883714800,"15705.42171439194","41","1243","20582","5572","0","0","0","0","0","27438",NGA,2.0729167,1.6335078,1.2931937,1.053476,0.66666669
IJEBU,"296",6.67281219028,4.08672205910,"7417.975803114942","0","0","0","0","0","0","0","0","0","0",,,,,,
IKASA,"297",1.46911196343,17.27010000000,"4915.528858310794","0","0","0","0","0","0","0","0","0","0",,,,,,
ILA,"298",-15.69270000000,26.80130000000,"28946.32048165659","0","0","0","0","0","0","0","0","0","0",ZMB,2.2,1.4666667,1.4666667,0.93333334,1
IMRAGEN,"299",24.27600000000,-14.89750000000,"44287.27231310361","0","0","0","0","0","0","0","0","0","0",,,,,,
INGASSANA,"300",11.35330000000,33.88220000000,"7308.190773313389","0","0","0","0","0","0","0","0","0","0",,,,,,
IRAMBA,"301",-4.34547000000,34.42670000000,"9766.594123437791","0","0","0","0","0","0","0","0","0","0",TZA,2,1.8,2,1.8,2.2
IRAQW,"302",-3.81329000000,35.40810000000,"9635.404014880025","0","0","0","0","0","0","0","0","0","0",,,,,,
ISHAAK,"303",9.43922232684,45.67320000000,"117806.9513625704","0","0","0","0","0","0","0","0","0","0",,,,,,
ISOKO,"304",5.60446245971,6.13042327343,"4750.684924802004","41","0","196","108","0","0","0","0","0","345",NGA,1.0256411,0.84615386,0.87179488,0.69230771,0.66666669
ITSEKIRI,"305",5.59102372275,5.49161461865,"4417.567649805997","0","0","0","0","0","0","0","0","0","0",NGA,1.6666666,1.3333334,1.4444444,0.77777779,0.8888889
ITTU,"306",8.94497559240,41.43220000000,"35799.38559042598","0","0","0","0","3","13","2","3","5","0",,,,,,
IWA,"307",-9.46866000000,32.51890000000,"13112.32148360566","0","0","0","0","0","0","0","0","0","0",ZMB,2.0714285,1.5714285,1.6071428,1.3333334,0.92000002
IYALA,"308",6.89215302351,8.53769098408,"3041.441173380343","0","0","0","18","0","0","0","0","0","18",,,,,,
JALO,"309",28.97270000000,21.26120000000,"15383.27775321393","0","0","0","0","0","0","0","0","0","0",,,,,,
JANJERO,"310",7.80973439245,37.48790000000,"4094.036727989906","0","0","0","0","0","0","0","0","0","0",,,,,,
JARAWA,"311",10.09980000000,9.56061527878,"5891.560003388304","0","0","0","18","0","0","0","0","0","18",,,,,,
JEBALA,"312",34.85060000000,-5.28036000000,"16726.98108807165","0","0","0","0","0","0","0","0","0","0",,,,,,
JEN,"313",9.71420299496,11.67020000000,"1475.876888608266","0","0","0","72","0","0","0","0","0","72",,,,,,
"JERAWA, CHAWAI (SW)","314",10.20130000000,8.87632211939,"2752.613182250765","0","0","196","0","0","0","0","0","0","196",,,,,,
JERBA,"315",33.79350000000,10.86410000000,"515.6112442975052","0","0","0","0","0","0","0","0","0","0",,,,,,
JERID,"316",33.89220000000,8.40782070662,"14842.52945013962","0","0","0","0","0","0","0","0","0","0",,,,,,
JIBU,"317",7.77658283782,11.29550000000,"4561.606915576252","0","0","0","0","0","0","0","0","0","0",,,,,,
JIE,"318",3.41288071305,34.13710000000,"10853.6531155617","0","0","0","0","0","0","0","0","0","0",,,,,,
JOFRA,"319",28.82240000000,16.53910000000,"54759.019788763","0","0","0","0","0","0","0","0","0","0",,,,,,
JUKUN,"320",8.59694169650,10.58700000000,"22423.23350597367","0","0","0","162","0","0","0","0","0","162",,,,,,
JUR,"321",8.07882877122,28.04260000000,"8155.4196849827","0","0","0","0","0","0","0","0","0","0",,,,,,
KABABISH,"322",16.68410000000,29.44690000000,"209995.9397654046","0","0","0","0","0","0","0","0","0","0",,,,,,
KABRE,"323",9.81906183486,1.22542193478,"5798.27788613657","0","0","0","406","0","0","0","0","0","406",BEN,3,3,3,3,3
KABYLE,"324",36.54950000000,4.30706393488,"9897.435361956048","0","0","0","0","0","0","0","0","0","0",,,,,,
KADARA,"325",9.99369046905,7.74890847706,"5406.217322666816","0","0","196","0","0","0","0","0","0","196",,,,,,
KAFA,"326",7.38553965795,36.10440000000,"13491.49648827765","0","0","0","0","0","0","0","0","0","0",,,,,,
KAGORO,"327",14.13900000000,-8.74348000000,"15552.23076307117","0","0","0","0","0","0","0","0","0","0",MLI,2.4736843,2.2631578,2.1578948,1.7894737,2.3684211
KAKA,"328",4.37608215236,14.44580000000,"14362.78314741751","0","0","0","2259","0","0","0","0","0","2259",,,,,,
KALAI,"329",-0.83450400000,11.32780000000,"10865.84188089377","0","0","0","6386","0","0","0","0","0","6386",,,,,,
KAM,"330",8.51997979274,11.02500000000,"1537.009693711336","0","0","0","0","0","0","0","0","0","0",,,,,,
KAMBA,"331",-1.61913000000,38.16660000000,"45157.02261881097","0","0","0","553","491","2087","245","527","824","553",KEN,2.25,1.75,1.6268656,1.1796875,1.3781513
KAMBATA,"332",7.51456172364,38.00420000000,"9605.709787427268","0","0","0","0","0","0","0","0","0","0",,,,,,
KAMBERI,"333",10.40870000000,5.49845264805,"15553.21231503729","0","0","0","270","0","0","0","0","0","270",,,,,,
KAMIR,"334",13.17560000000,38.81920000000,"7917.985482863082","0","0","0","0","0","0","0","0","0","0",,,,,,
KAMUKU,"335",10.46420000000,6.38120422130,"10223.21010158423","0","0","0","18","0","0","0","0","0","18",,,,,,
KANEMBU,"336",13.99410000000,14.43470000000,"26476.25743699511","0","0","0","28","0","0","0","0","0","28",,,,,,
KANURI,"337",12.05100000000,12.74840000000,"48247.04656989376","0","0","392","1803","0","0","0","0","0","2195",NGA,2.3921568,2.1568627,2.0784314,1.5294118,1.4313725
KAONDE,"338",-13.03970000000,25.96850000000,"87488.6261310329","0","0","0","2814","0","0","0","0","0","2814",ZMB,2.0408163,1.5306122,1.7142857,1.4693878,0.86956519
KAPSIKI,"339",10.52010000000,13.66670000000,"2984.984724176891","0","0","0","0","0","0","0","0","0","0",,,,,,
KARA,"340",9.47461689881,22.84940000000,"46872.0011258895","0","0","0","0","61","261","31","66","103","0",,,,,,
KARABORO,"341",10.49140000000,-4.30928000000,"2980.170593010067","0","0","0","0","0","0","0","0","0","0",,,,,,
KARAMOJONG,"342",2.34105108952,34.68730000000,"15051.8611981466","0","0","0","0","0","0","0","0","0","0",UGA,1,1,2,2,1
KARANGA,"343",-20.28630000000,30.50810000000,"63988.94473807144","0","0","553","0","0","0","0","0","0","553",ZWE,1.7165775,1.3475935,1.2956989,1.1546961,1.8095238
KARE,"344",5.04133821818,25.94170000000,"10733.25629217796","0","0","0","0","0","0","0","0","0","0",,,,,,
KAREKARE,"345",11.67640000000,11.19120000000,"4264.293998902598","0","0","0","36","0","0","0","0","0","36",,,,,,
KASONKE,"346",14.31500000000,-10.65570000000,"22069.27714093627","0","0","0","106","0","0","0","0","0","106",MLI,2.4782608,1.9130435,1.9565217,1.6086956,2.3181818
KATAB,"347",9.76237578565,8.31656983567,"5502.429982672743","0","0","196","90","0","0","0","0","0","286",,,,,,
KATLA,"348",11.71540000000,29.46560000000,"1653.214999331274","0","0","0","0","0","0","0","0","0","0",,,,,,
KAWAR,"349",18.20520000000,12.81630000000,"104193.0476163103","0","0","0","0","0","0","0","0","0","0",,,,,,
KEBU,"350",7.74148244117,0.84064514854,"1602.26431141491","0","0","0","0","0","0","0","0","0","0",,,,,,
KELA,"351",-1.98036000000,23.70880000000,"41957.75183063187","0","0","0","0","0","0","0","0","0","0",,,,,,
KEMANT,"352",12.52060000000,37.22380000000,"5355.641751795895","0","0","0","0","0","0","0","0","0","0",,,,,,
KENGA,"353",12.13860000000,18.45820000000,"11843.80024465279","0","0","0","0","0","0","0","0","0","0",,,,,,
KENTU,"354",7.29892330922,10.51510000000,"2576.081327916552","0","0","0","0","0","0","0","0","0","0",,,,,,
KEPERE,"355",5.33492717019,13.32880000000,"9003.415783727056","0","0","0","0","0","0","0","0","0","0",,,,,,
KERARISH,"356",20.35150000000,28.98260000000,"75710.38548568703","0","0","0","0","0","0","0","0","0","0",,,,,,
KEREWE,"357",-2.08103000000,33.47330000000,"720.668947069568","0","0","0","0","0","0","0","0","0","0",,,,,,
KEYU,"358",0.56121242727,35.73880000000,"3472.183971803264","0","0","0","0","0","0","0","0","0","0",KEN,2.3333333,1.6666666,1,1.3333334,1.6666666
KGALAGADI,"359",-24.10610000000,22.70940000000,"128539.5891720217","0","0","0","0","0","0","0","0","0","0",BWA,1.6588235,1.2470589,1.3333334,1.0722891,1.721519
KGATLA,"360",-24.53320000000,27.36730000000,"33877.97988925598","0","0","0","0","0","0","0","0","0","0",BWA,1.8636364,1.4363636,1.4181818,1.2616823,1.8019803
KHARGA,"361",24.18860000000,30.48220000000,"67824.61910619168","0","0","0","0","0","0","0","0","0","0",,,,,,
KIKUYU,"362",-0.84720000000,36.99360000000,"15321.10083360929","0","0","0","0","41","174","20","44","69","0",KEN,2.2532189,1.7939914,1.5536481,1.0614035,1.3738738
KILINGA,"363",9.53958627681,2.04774060296,"6666.036947679089","0","0","0","145","0","0","0","0","0","145",,,,,,
KIMBU,"364",-7.18343000000,33.48860000000,"29219.68494167128","0","0","0","0","41","174","20","44","69","0",,,,,,
KIMBUNDU,"365",-8.81355000000,15.48470000000,"81511.10417126383","189","16808","303","50733","0","0","0","0","0","68033",,,,,,
KIMR,"366",14.65490000000,23.43530000000,"5382.425831708907","0","0","0","0","0","0","0","0","0","0",,,,,,
KINDIGA,"367",-3.61617000000,34.77310000000,"4104.402143939355","0","0","0","0","0","0","0","0","0","0",,,,,,
KINGA,"368",-9.54974000000,34.70420000000,"8618.402154099298","0","0","0","0","491","2087","245","527","824","0",,,,,,
KIPSIGI,"369",-0.43858100000,35.23050000000,"5729.412713085756","0","0","0","0","0","0","0","0","0","0",KEN,1.9846153,1.6201551,1.6171875,1.21875,1.266129
KISAMA,"370",-9.80000000000,13.70080000000,"9935.03079875209","0","525","0","5506","0","0","0","0","0","6031",,,,,,
KISI,"371",-9.83900000000,34.50780000000,"4382.676429122827","0","0","0","585","82","348","41","88","137","585",,,,,,
KISSI,"372",8.88535055626,-10.05300000000,"9744.227715818388","0","0","57508","5126","0","0","0","0","0","62634",,,,,,
KITA,"373",13.24330000000,-8.92973000000,"12000.37843663098","0","0","0","0","0","0","0","0","0","0",,,,,,
KOALIB,"374",11.27660000000,30.76750000000,"16412.60150758305","0","0","0","0","0","0","0","0","0","0",,,,,,
KOBA,"375",-18.89540000000,23.51700000000,"19014.94283585153","0","0","0","0","0","0","0","0","0","0",BWA,2.4583333,2.125,1.875,1.7083334,1.826087
KOKO,"376",4.07746058894,10.63600000000,"16087.27899095872","0","0","3059","94","0","0","0","0","0","3153",,,,,,
KOM,"377",6.37133062816,10.31200000000,"1761.798948930199","0","0","0","0","0","0","0","0","0","0",,,,,,
KOMA,"378",9.35993053993,34.21410000000,"15090.18716226514","0","0","0","0","0","0","0","0","0","0",,,,,,
KOMONO,"379",9.77618026767,-4.14357000000,"4340.338459549914","0","0","0","0","0","0","0","0","0","0",,,,,,
KONA,"380",10.37030000000,12.64760000000,"2726.567116511123","0","0","0","0","0","0","0","0","0","0",,,,,,
KONGO,"381",-6.62398000000,14.61800000000,"126510.0467530227","33299","249221","1917561","1638872","0","0","0","0","0","3838953",,,,,,
KONJO,"382",-0.17941500000,29.38610000000,"17700.35861782149","0","0","0","0","0","0","0","0","0","0",UGA,2.1818182,2.1515152,2.3030303,1.9090909,2.2121212
KONKOMBA,"383",9.84176270225,0.56801523267,"5919.996956229012","0","0","126357","11934","0","0","0","0","0","138291",,,,,,
KONO,"384",8.74069306158,-10.76200000000,"5796.510042717314","0","0","0","400","0","0","0","0","0","400",,,,,,
KONONGO,"385",-6.44118000000,32.01160000000,"22744.92756765327","0","0","0","0","20","86","10","22","34","0",,,,,,
KONSO,"386",5.58498574960,37.58980000000,"9254.238454489257","0","0","0","0","0","0","0","0","0","0",KEN,3,2,2,0,0
KONYANKE,"387",8.68836860435,-8.23764000000,"22540.89659611984","0","0","0","0","0","0","0","0","0","0",,,,,,
KORANA,"388",-28.67450000000,23.81260000000,"33320.09650803979","0","0","0","0","0","0","0","0","0","0",,,,,,
KORANKO,"389",9.38524941941,-10.48930000000,"20592.33686133683","0","0","2629","547","0","0","0","0","0","3176",,,,,,
KOREKORE,"390",-17.11500000000,29.51160000000,"63266.94588533079","0","0","0","0","0","0","0","0","0","0",,,,,,
KORO,"391",9.45630699547,7.52936535171,"3786.811478928231","0","0","0","72","0","0","0","0","0","72",,,,,,
KOROCA,"392",-15.58240000000,12.41020000000,"27948.72006343821","0","0","0","0","0","0","0","0","0","0",,,,,,
KOSSI,"393",4.82866620340,9.79019286614,"7124.839086280315","0","0","0","282","0","0","0","0","0","282",,,,,,
KOTA,"394",0.37376039923,14.44480000000,"74848.88164502068","0","0","0","3100","0","0","0","0","0","3100",,,,,,
KOTOKO,"395",11.69670000000,15.15300000000,"7310.355677996166","0","0","0","0","0","0","0","0","0","0",,,,,,
KOTOPO,"396",8.21211804925,12.53530000000,"4718.603854868765","0","0","0","0","0","0","0","0","0","0",,,,,,
KOYAM,"397",13.13830000000,12.85300000000,"5094.384132032464","0","0","0","0","0","0","0","0","0","0",,,,,,
KPE,"398",4.22652850695,9.34544138523,"3897.135217769581","0","0","0","188","0","0","0","0","0","188",,,,,,
KPELLE,"399",7.43424570227,-9.11154000000,"15035.80947593155","0","0","0","675","0","0","0","0","0","675",,,,,,
KRACHI,"400",8.06976564089,0.11941856395,"6787.156467311424","0","0","0","0","0","0","0","0","0","0",,,,,,
KRAN,"401",5.98986146850,-8.03530000000,"9491.328691747523","0","0","0","0","0","0","0","0","0","0",,,,,,
KREDA,"402",14.41030000000,17.35230000000,"76705.44665667901","0","0","0","0","0","0","0","0","0","0",,,,,,
KREISH,"403",8.80220308884,24.87020000000,"41615.33657529817","0","0","0","0","0","0","0","0","0","0",,,,,,
KRU,"404",5.16894220083,-8.67231000000,"10453.54496190574","0","0","0","114","0","0","0","0","0","114",,,,,,
KUBA,"405",-4.69093000000,21.88100000000,"30902.2193956329","0","0","0","0","0","0","0","0","0","0",,,,,,
KUFRA,"406",24.32290000000,22.29160000000,"100060.9790627798","0","0","0","0","0","0","0","0","0","0",,,,,,
KUKU,"407",3.92920368509,31.53910000000,"2912.141967974567","0","0","0","0","0","0","0","0","0","0",,,,,,
KUKURUKU,"408",7.02752615497,6.37802975451,"6257.957363182004","0","0","0","541","0","0","0","0","0","541",,,,,,
KULANGO,"409",8.68432815758,-3.30593000000,"23444.13154115964","0","0","0","0","0","0","0","0","0","0",,,,,,
KUMU,"410",-0.39263900000,26.82040000000,"60750.58811343812","0","0","0","0","0","0","0","0","0","0",,,,,,
KUN,"411",10.34980000000,16.14730000000,"4910.074730477999","0","0","0","0","0","0","0","0","0","0",,,,,,
KUNAMA,"412",15.14730000000,37.35840000000,"5812.117803281195","0","0","0","0","0","0","0","0","0","0",,,,,,
KUNDA,"413",-15.39980000000,31.95180000000,"49018.48462723209","0","0","0","0","0","0","0","0","0","0",ZMB,1,1,1,1,
KUNDU,"414",4.84707143258,9.14760573899,"7203.606006861021","0","0","0","1224","0","0","0","0","0","1224",,,,,,
KUNG,"415",-20.12820000000,20.10370000000,"98768.2277927306","0","0","0","0","0","0","0","0","0","0",,,,,,
KUNTA,"416",20.48780000000,-0.86221100000,"221378.228836221","0","0","0","0","0","0","0","0","0","0",,,,,,
KUNYI,"417",-3.53615000000,12.77390000000,"17275.29481092482","0","0","0","2848","0","0","0","0","0","2848",,,,,,
