NAME,TRIBE_CODE,LAT,LON,land_area,atlantic_,atlantic1,atlantic2,atlantic3,indiannum,indianall,indian_n1,indian_n2,indian_n3,atlantica,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
AZANDE,"49",4.57554822616,26.45140000000,"148103.4031138655","0","0","0","0","0","0","0","0","0","0",,,,,,
AZJER,"50",26.69510000000,8.74450412530,"385106.2021292363","0","0","0","0","0","0","0","0","0","0",,,,,,
BABUKUR,"51",4.31104207440,29.36580000000,"2993.120091235397","0","0","0","0","0","0","0","0","0","0",,,,,,
BABWA,"52",2.49065824662,25.34080000000,"35329.39706395203","0","0","0","0","0","0","0","0","0","0",,,,,,
BACHAMA,"53",9.47013917553,11.99180000000,"2293.549692315054","0","0","0","0","0","0","0","0","0","0",,,,,,
BAGA,"54",10.38230000000,-14.25260000000,"4381.262877255782","0","0","0","45","0","0","0","0","0","45",,,,,,
BAGIRMI,"55",11.30210000000,16.40520000000,"23856.56425613247","0","0","0","13","0","0","0","0","0","13",,,,,,
BAHARIYA,"56",27.09860000000,28.22990000000,"30049.8514923135","0","0","0","0","0","0","0","0","0","0",,,,,,
BAJUN,"57",-1.13974000000,41.75210000000,"8629.258690254836","0","0","0","0","0","0","0","0","0","0",KEN,2.3076923,1.6153846,1.5384616,1.1538461,1.1538461
BAKAKARI,"58",11.38220000000,5.45338771584,"10056.88480427175","0","0","0","0","0","0","0","0","0","0",,,,,,
BAKO,"59",5.81759010724,36.49290000000,"10815.2182048546","0","0","0","0","0","0","0","0","0","0",,,,,,
BAKWE,"60",5.27899084681,-6.94432000000,"14407.60270685953","0","0","0","0","0","0","0","0","0","0",,,,,,
BALANTE,"61",12.32490000000,-15.45160000000,"5564.78168152017","228","28324","0","1547","0","0","0","0","0","30099",,,,,,
BAMBARA,"62",13.07600000000,-6.66268000000,"128533.1776738905","0","144","212305","11507","0","0","0","0","0","223956",MLI,2.6281691,2.1553671,2.1723163,1.6455331,2.1946902
BAMILEKE,"63",5.26154613828,10.45370000000,"7438.106912442218","0","0","0","753","0","0","0","0","0","753",,,,,,
BANDA,"64",6.71744893987,22.15510000000,"266613.4314753488","0","0","0","9","0","0","0","0","0","9",,,,,,
BANGANDU,"65",2.58750516927,15.55180000000,"2494.777311503371","0","0","0","0","0","0","0","0","0","0",,,,,,
BANGBA,"66",3.32035766240,28.63370000000,"7677.810576989556","0","0","0","118","0","0","0","0","0","118",,,,,,
BANGI,"67",-0.32296000000,16.70470000000,"50230.08161788561","0","0","0","0","0","0","0","0","0","0",,,,,,
BANYUN,"68",12.45660000000,-16.07630000000,"1439.437352742345","3041","6528","0","35066","0","0","0","0","0","44635",SEN,2.6666667,2,2.6666667,2.6666667,2
BANZA,"69",3.38985038423,20.75800000000,"6877.503308742321","0","0","0","0","0","0","0","0","0","0",,,,,,
BANZIRI,"70",4.94405816597,20.22020000000,"11794.58779697523","0","0","0","0","0","0","0","0","0","0",,,,,,
BARA,"71",-23.16390000000,45.53150000000,"79930.13728285293","0","1724","1486","10599","0","11973","0","6096","5877","13809",MDG,1.8095238,1.4761904,1.5238096,1.3809524,1.65
BARABRA,"72",21.03700000000,31.30820000000,"127956.1514476622","0","0","0","0","0","0","0","0","0","0",,,,,,
BARARETTA,"73",2.17481242742,41.03680000000,"226085.8378633324","0","0","0","0","20","85","10","21","34","0",KEN,2.4181819,2.2363636,2,0.96363634,1.2115384
BAREA,"74",15.63540000000,37.40960000000,"3314.790057302989","0","0","0","0","0","0","0","0","0","0",,,,,,
BARGU,"75",10.44330000000,2.89360231060,"56900.54656454916","6","0","19918","1784","0","0","0","0","0","21708",BEN,2.7415731,2.4325843,1.9213483,1.5028249,2.4161491
BARI,"76",4.74360309663,31.72640000000,"10250.00304524022","0","0","490","0","0","0","0","0","0","490",,,,,,
BASA,"77",7.93205031057,7.22530905601,"2628.573360499338","0","0","196","577","0","0","0","0","0","773",,,,,,
BASARI,"78",9.19652568452,0.79077925959,"3393.719451153205","0","0","0","0","0","0","0","0","0","0",,,,,,
BASHI,"79",-2.47415000000,28.82440000000,"12117.57751413456","0","0","0","0","0","0","0","0","0","0",,,,,,
BASILA,"80",9.19177259389,1.83471390423,"1712.597946668332","0","0","0","0","0","0","0","0","0","0",,,,,,
BASSA,"81",6.20614487111,-9.67354000000,"21090.74091276795","0","0","0","3542","0","0","0","0","0","3542",,,,,,
BATA,"82",9.73463774109,13.03460000000,"6478.22576525443","0","0","0","0","0","0","0","0","0","0",,,,,,
BATAHIN,"83",16.01640000000,33.85010000000,"31104.88853480934","0","0","0","0","0","0","0","0","0","0",,,,,,
BATI,"84",3.37771439847,23.55170000000,"10838.72674448298","0","0","0","0","0","0","0","0","0","0",,,,,,
BAUCHI,"85",9.88652515678,10.55720000000,"16311.12688225006","0","0","0","0","0","0","0","0","0","0",NGA,2.3620689,2.0862069,2.0862069,1.7758621,1.3928572
BAULE,"86",7.28524891778,-4.79086000000,"28970.02806825127","0","0","0","0","0","0","0","0","0","0",,,,,,
BAYA,"87",5.58301075886,15.78260000000,"114707.4191108794","0","0","0","0","0","0","0","0","0","0",,,,,,
BEDE,"88",12.79690000000,10.74570000000,"9368.666364500894","0","0","0","108","0","0","0","0","0","108",,,,,,
BEDERIA,"89",13.04040000000,30.37410000000,"31894.44477125931","0","0","0","0","0","0","0","0","0","0",,,,,,
BEMBA,"90",-10.67050000000,31.33670000000,"50325.67097604246","0","0","0","0","716","3045","358","769","1202","0",ZMB,1.9972752,1.4234973,1.4414169,1.2328767,1.1735294
BENA,"91",-9.18798000000,35.31090000000,"15163.46854466169","0","0","0","0","368","1565","184","395","618","0",,,,,,
BENDE,"92",-6.07018000000,30.55890000000,"22006.95168909477","0","0","0","0","61","261","31","66","103","0",,,,,,
BERABER,"93",32.78430000000,-5.21513000000,"59698.24607908913","0","0","0","0","0","0","0","0","0","0",,,,,,
BERABISH,"94",19.88570000000,-4.72439000000,"290066.768572963","0","0","0","0","0","0","0","0","0","0",,,,,,
BERGDAMA,"95",-21.84110000000,15.48670000000,"30293.29075122323","0","0","0","0","0","0","0","0","0","0",NAM,2.2230768,1.4573643,1.234375,1.0625,1.4
BERIBERI,"96",14.20580000000,9.56289492630,"30410.89188122423","0","0","0","0","0","0","0","0","0","0",,,,,,
BERTA,"97",10.56560000000,34.84890000000,"16145.08462232287","0","0","0","0","0","0","0","0","0","0",,,,,,
BERTI,"98",14.02690000000,26.60760000000,"40799.07190194573","0","0","0","0","0","0","0","0","0","0",,,,,,
BETE,"99",6.40940143139,-6.48613000000,"18131.96102720265","0","0","273","0","0","0","0","0","0","273",,,,,,
BETSILEO,"100",-21.22010000000,46.47120000000,"32412.20319275362","0","699","602","4298","0","4855","0","2472","2383","5599",MDG,1.9752475,1.3762376,1.3718593,1.0612245,1.6455027
BETSIMISARAKA,"101",-17.20770000000,49.24620000000,"58372.63166438562","0","1259","1085","7740","0","8744","0","4452","4292","10084",MDG,1.8543047,1.4933333,1.5099338,1.1666666,1.4428571
BIAFADA,"102",11.52960000000,-15.11720000000,"4871.090267705701","6539","7657","991","1326","0","0","0","0","0","16513",,,,,,
BIDEYAT,"103",19.39540000000,23.73220000000,"568541.8334554085","0","0","0","0","0","0","0","0","0","0",,,,,,
BIJOGO,"104",11.31590000000,-16.00380000000,"1479.214733261079","750","5198","1982","663","0","0","0","0","0","8593",,,,,,
BINZA,"105",2.44690132656,24.24340000000,"15491.94380000518","0","0","0","0","0","0","0","0","0","0",,,,,,
BIRA,"106",0.93354306286,28.93220000000,"24884.79432788389","0","0","0","0","0","0","0","0","0","0",,,,,,
BIRIFON,"107",10.21610000000,-2.81615000000,"6631.08970469801","0","0","0","0","0","0","0","0","0","0",,,,,,
BIRKED,"108",12.91100000000,25.70110000000,"16439.950113263","0","0","0","0","0","0","0","0","0","0",,,,,,
BIROM,"109",9.67518361011,9.03797521073,"3283.812050064977","0","0","0","36","0","0","0","0","0","36",,,,,,
BISA,"110",-12.23510000000,31.38920000000,"37836.64936223577","0","0","0","563","2864","12180","1432","3075","4809","563",ZMB,2.75,2,2,1.5,0.25
BISHARIN,"111",20.14150000000,34.88770000000,"116021.129260584","0","0","0","0","0","0","0","0","0","0",,,,,,
BOBO,"112",12.43690000000,-3.69546000000,"28824.20822280971","0","0","5945","78","0","0","0","0","0","6023",MLI,2.5476191,2.0714285,2.1904762,1.5,2.4047618
BOFI,"113",3.99516201087,17.56040000000,"2895.587938304997","0","0","0","0","0","0","0","0","0","0",,,,,,
BOGO,"114",15.75130000000,38.45710000000,"2471.512567835014","0","0","0","0","0","0","0","0","0","0",,,,,,
BOKI,"115",6.22571641651,9.08688584788,"3587.901341280127","0","0","0","36","0","0","0","0","0","36",,,,,,
BOLEWA,"116",11.08180000000,11.29040000000,"7779.597154442238","0","0","0","90","0","0","0","0","0","90",,,,,,
BOMITABA,"117",1.91492161187,17.51870000000,"7511.65541190898","0","0","0","0","0","0","0","0","0","0",,,,,,
BONDEI,"118",-5.15857000000,38.75840000000,"1794.710801143023","0","0","0","0","982","4176","491","1054","1649","0",,,,,,
BONDJO,"119",2.51635712148,18.01520000000,"16278.83101714696","0","0","0","0","0","0","0","0","0","0",,,,,,
BONGO,"120",6.83904543961,28.69000000000,"22414.24696142114","0","0","0","0","0","0","0","0","0","0",,,,,,
BONI,"121",-1.30593000000,41.01730000000,"13943.14309067135","0","0","0","0","0","0","0","0","0","0",,,,,,
BORAN,"122",3.28650431723,38.52710000000,"138935.3581917995","0","0","0","0","12","52","6","13","21","0",KEN,2.5,2.375,2.125,1.5,1.5714285
