date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:24 PM,04:49 AM,08:22 AM,05:54 PM,-8,-3,2,-3,30,15,49,0.0,1023,5,10,243,17,21613
2015-01-02,8,2,0.0,8.7,2,78,04:10 PM,05:48 AM,08:22 AM,05:55 PM,-2,1,4,1,14,13,68,0.0,1026,8,10,267,8,21613
2015-01-03,9,2,0.0,5.2,2,85,05:01 PM,06:43 AM,08:22 AM,05:56 PM,2,2,5,2,17,60,82,1.2,1029,9,8,98,9,21613
2015-01-04,17,8,0.0,5.2,3,92,05:54 PM,07:33 AM,08:22 AM,05:57 PM,12,11,13,11,39,72,92,2.5,1014,17,9,223,23,21613
2015-01-05,5,-1,0.0,8.7,2,99,06:48 PM,08:18 AM,08:22 AM,05:57 PM,-5,-2,3,-2,36,11,57,0.7,1026,5,10,308,24,21613
2015-01-06,3,-3,0.7,7.0,1,95,07:44 PM,08:59 AM,08:22 AM,05:58 PM,-8,-6,-2,-6,15,49,63,0.8,1025,3,9,213,10,21613
2015-01-07,-2,-8,0.0,8.7,1,88,08:40 PM,09:36 AM,08:22 AM,05:59 PM,-12,-12,-4,-12,38,43,56,0.0,1022,-2,9,308,28,21613
2015-01-08,-6,-11,0.0,9.8,2,81,09:36 PM,10:09 AM,08:22 AM,06:00 PM,-18,-16,-8,-16,30,15,48,0.0,1032,-6,10,271,21,21613
2015-01-09,3,-4,0.0,9.8,1,74,10:30 PM,10:40 AM,08:22 AM,06:01 PM,-11,-8,-1,-8,33,29,50,0.0,1022,3,9,266,21,21613
2015-01-10,-4,-8,0.0,9.8,2,68,11:25 PM,11:11 AM,08:22 AM,06:02 PM,-14,-12,-6,-12,22,1,51,0.0,1034,-4,10,276,15,21613
2015-01-11,4,-4,0.0,9.8,1,61,No moonrise,11:40 AM,08:22 AM,06:03 PM,-7,-4,-0,-4,20,32,62,0.0,1037,4,10,176,12,21613
2015-01-12,5,2,0.0,4.9,1,54,12:20 AM,12:10 PM,08:21 AM,06:04 PM,1,-1,3,-1,17,94,89,11.6,1026,5,7,212,10,21613
2015-01-13,0,-3,0.0,9.8,1,47,01:17 AM,12:42 PM,08:21 AM,06:05 PM,-4,-7,-1,-7,30,26,75,1.3,1032,0,9,59,20,21613
2015-01-14,1,-3,0.6,4.9,1,41,02:14 AM,01:17 PM,08:21 AM,06:06 PM,-3,-7,-1,-7,25,83,86,3.0,1027,1,5,58,17,21613
