date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,3,-3,0.0,8.7,2,71,03:21 PM,04:51 AM,08:24 AM,05:51 PM,-12,-5,-0,-5,29,14,42,0.0,1022,3,10,244,17,21901
2015-01-02,5,-1,0.0,8.7,1,78,04:08 PM,05:50 AM,08:24 AM,05:51 PM,-5,-2,2,-2,23,28,62,0.0,1026,5,10,284,13,21901
2015-01-03,5,-1,0.0,3.5,1,85,04:58 PM,06:44 AM,08:24 AM,05:52 PM,-0,-1,3,-1,16,69,82,3.6,1029,5,8,70,9,21901
2015-01-04,14,5,0.0,5.2,3,92,05:51 PM,07:35 AM,08:25 AM,05:53 PM,8,6,9,6,30,79,93,5.4,1013,14,10,231,18,21901
2015-01-05,2,-4,0.0,7.0,1,99,06:46 PM,08:20 AM,08:25 AM,05:54 PM,-8,-6,0,-6,39,16,57,0.1,1025,2,9,297,26,21901
2015-01-06,-4,-7,4.2,3.5,1,95,07:42 PM,09:01 AM,08:24 AM,05:55 PM,-10,-9,-5,-9,12,63,72,5.0,1025,-4,6,230,9,21901
2015-01-07,-6,-12,0.0,7.0,1,88,08:38 PM,09:37 AM,08:24 AM,05:56 PM,-12,-16,-8,-16,34,32,74,0.1,1021,-6,9,294,22,21901
2015-01-08,-10,-14,0.0,8.7,2,81,09:34 PM,10:10 AM,08:24 AM,05:57 PM,-15,-20,-12,-20,27,15,77,0.0,1031,-10,10,252,17,21901
2015-01-09,-0,-7,0.1,7.0,1,74,10:29 PM,10:41 AM,08:24 AM,05:58 PM,-9,-11,-5,-11,30,37,70,0.1,1021,-0,10,252,18,21901
2015-01-10,-6,-13,0.0,8.7,2,68,11:25 PM,11:10 AM,08:24 AM,05:59 PM,-13,-16,-9,-16,21,1,75,0.0,1034,-6,10,279,13,21901
2015-01-11,1,-9,0.0,9.8,2,61,No moonrise,11:40 AM,08:24 AM,06:00 PM,-8,-8,-4,-8,18,30,72,0.0,1036,1,10,183,10,21901
2015-01-12,2,-0,0.0,4.9,1,54,12:20 AM,12:09 PM,08:24 AM,06:01 PM,-1,-3,1,-3,18,88,90,20.1,1026,2,5,181,10,21901
2015-01-13,-3,-6,0.0,9.8,2,47,01:17 AM,12:40 PM,08:23 AM,06:02 PM,-8,-10,-3,-10,28,24,71,0.0,1033,-3,10,149,19,21901
2015-01-14,0,-6,0.1,4.9,1,41,02:15 AM,01:15 PM,08:23 AM,06:03 PM,-8,-8,-3,-8,18,84,67,0.1,1028,0,9,110,13,21901
