date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:22 PM,04:49 AM,08:22 AM,05:52 PM,-9,-3,1,-3,31,14,48,0.0,1022,5,10,241,17,21629
2015-01-02,7,1,0.0,8.7,2,78,04:09 PM,05:48 AM,08:22 AM,05:53 PM,-3,-0,3,-0,18,8,66,0.0,1026,7,10,299,10,21629
2015-01-03,9,1,0.0,3.5,2,85,04:59 PM,06:42 AM,08:22 AM,05:54 PM,2,2,5,2,16,64,81,1.3,1029,9,8,95,9,21629
2015-01-04,17,7,0.0,3.5,3,92,05:52 PM,07:33 AM,08:22 AM,05:55 PM,11,10,12,10,37,74,93,5.2,1014,17,9,225,22,21629
2015-01-05,4,-2,0.0,8.7,1,99,06:47 PM,08:18 AM,08:22 AM,05:56 PM,-6,-4,2,-4,37,14,58,0.1,1025,4,10,303,25,21629
2015-01-06,-0,-5,3.6,3.5,1,95,07:43 PM,08:59 AM,08:22 AM,05:56 PM,-9,-7,-3,-7,14,55,69,4.2,1025,-0,7,247,10,21629
2015-01-07,-4,-10,0.0,8.7,1,88,08:38 PM,09:36 AM,08:22 AM,05:57 PM,-11,-14,-6,-14,39,33,64,0.0,1021,-4,9,301,26,21629
2015-01-08,-8,-12,0.0,8.7,2,81,09:34 PM,10:09 AM,08:22 AM,05:58 PM,-16,-18,-10,-18,29,12,61,0.0,1031,-8,10,266,19,21629
2015-01-09,1,-5,0.1,7.0,1,74,10:29 PM,10:40 AM,08:22 AM,05:59 PM,-9,-9,-2,-9,32,35,60,0.1,1022,1,10,260,19,21629
2015-01-10,-6,-10,0.0,9.8,2,68,11:24 PM,11:10 AM,08:22 AM,06:00 PM,-13,-13,-7,-13,21,1,64,0.0,1034,-6,10,285,14,21629
2015-01-11,3,-6,0.0,9.8,2,61,No moonrise,11:39 AM,08:21 AM,06:01 PM,-8,-5,-1,-5,20,31,60,0.0,1037,3,10,175,11,21629
2015-01-12,4,1,0.0,4.9,1,54,12:19 AM,12:09 PM,08:21 AM,06:02 PM,1,-1,2,-1,17,93,89,25.2,1026,4,8,217,10,21629
2015-01-13,-1,-4,0.1,9.8,2,47,01:16 AM,12:41 PM,08:21 AM,06:03 PM,-5,-7,-1,-7,29,23,74,0.1,1032,-1,10,104,19,21629
2015-01-14,2,-3,0.9,4.9,1,41,02:13 AM,01:16 PM,08:21 AM,06:04 PM,-4,-7,-1,-7,24,85,82,3.8,1027,2,8,63,16,21629
2015-01-15,1,-2,0.0,9.9,1,34,03:13 AM,01:55 PM,08:20 AM,06:05 PM,-4,-5,-1,-5,19,34,78,0.0,1020,1,10,292,12,21629
2015-01-16,6,-1,0.0,9.9,2,27,04:13 AM,02:40 PM,08:20 AM,06:06 PM,-3,-3,2,-3,34,13,69,0.0,1017,6,10,242,21,21629
2015-01-17,1,-4,0.0,9.9,1,20,05:13 AM,03:32 PM,08:19 AM,06:07 PM,-11,-6,-2,-6,19,20,52,0.0,1027,1,10,98,12,21629
2015-01-18,5,2,0.0,4.9,1,13,06:12 AM,04:30 PM,08:19 AM,06:08 PM,3,1,4,1,21,72,94,65.7,1014,5,8,206,10,21629
2015-01-19,6,2,0.0,9.9,2,7,07:08 AM,05:35 PM,08:19 AM,06:09 PM,-1,-0,3,-0,25,22,76,0.0,1014,6,10,271,15,21629
2015-01-20,8,1,0.0,9.9,2,0,08:00 AM,06:44 PM,08:18 AM,06:11 PM,-1,3,4,3,9,33,71,0.0,1015,8,10,124,5,21629
2015-01-21,2,-1,0.0,6.6,1,7,08:46 AM,07:56 PM,08:18 AM,06:12 PM,-3,-3,0,-3,17,64,82,6.8,1020,2,8,33,10,21629
2015-01-22,5,-2,0.0,9.9,1,14,09:29 AM,09:08 PM,08:17 AM,06:13 PM,-1,-2,1,-2,15,52,88,0.1,1025,5,8,268,9,21629
2015-01-23,3,-2,0.0,9.9,1,20,10:09 AM,10:18 PM,08:16 AM,06:14 PM,-2,-2,1,-2,12,50,80,5.4,1024,3,9,189,7,21629
2015-01-24,3,1,0.0,6.6,1,27,10:46 AM,11:28 PM,08:16 AM,06:15 PM,1,-3,2,-3,36,75,91,41.9,1002,3,7,208,23,21629
2015-01-25,8,1,0.0,8.3,2,34,11:24 AM,No moonset,08:15 AM,06:16 PM,0,1,4,1,25,37,76,0.1,1010,8,10,230,15,21629
2015-01-26,4,-1,0.0,5.0,1,41,12:02 PM,12:35 AM,08:14 AM,06:17 PM,1,-4,2,-4,40,93,89,5.7,1008,4,6,49,27,21629
2015-01-27,-1,-3,0.0,5.0,1,48,12:41 PM,01:41 AM,08:14 AM,06:18 PM,-4,-9,-2,-9,38,90,82,0.5,1008,-1,8,337,26,21629
2015-01-28,-0,-7,0.0,10.1,2,54,01:23 PM,02:43 AM,08:13 AM,06:20 PM,-9,-11,-3,-11,36,12,67,0.0,1021,-0,10,329,24,21629
2015-01-29,3,-4,0.0,6.7,1,61,02:08 PM,03:42 AM,08:12 AM,06:21 PM,-8,-5,-1,-5,22,59,59,0.9,1024,3,8,192,14,21629
2015-01-30,3,-7,0.0,8.3,1,68,02:56 PM,04:37 AM,08:11 AM,06:22 PM,-5,-7,0,-7,46,58,69,1.0,1016,3,7,296,31,21629
2015-01-31,-2,-8,0.0,10.1,2,75,03:47 PM,05:29 AM,08:10 AM,06:23 PM,-12,-13,-5,-13,36,10,56,0.0,1025,-2,10,313,27,21629
2015-02-01,4,-4,0.0,8.3,1,81,04:40 PM,06:15 AM,08:10 AM,06:24 PM,-5,-2,0,-2,15,53,65,0.9,1023,4,10,209,9,21629
2015-02-02,10,-5,0.0,6.7,1,88,05:35 PM,06:57 AM,08:09 AM,06:25 PM,1,-2,4,-2,51,80,84,15.6,1004,10,7,256,33,21629
2015-02-03,-1,-6,0.0,10.2,2,95,06:30 PM,07:36 AM,08:08 AM,06:27 PM,-13,-9,-3,-9,24,12,47,0.0,1026,-1,10,274,17,21629
2015-02-04,7,-2,0.0,10.2,2,98,07:26 PM,08:10 AM,08:07 AM,06:28 PM,-4,-2,3,-2,32,20,62,0.0,1022,7,10,187,19,21629
2015-02-05,0,-6,0.0,10.2,1,92,08:21 PM,08:42 AM,08:06 AM,06:29 PM,-7,-9,-1,-9,44,22,67,0.0,1019,0,9,312,30,21629
2015-02-06,1,-7,0.0,10.3,2,85,09:17 PM,09:12 AM,08:05 AM,06:30 PM,-15,-9,-3,-9,23,11,40,0.0,1025,1,10,275,16,21629
