date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,-1,-9,0.0,9.7,2,71,03:35 PM,05:05 AM,08:38 AM,06:04 PM,-17,-13,-5,-13,37,16,40,0.0,1022,-1,10,257,25,21520
2015-01-02,2,-6,0.0,9.7,2,78,04:21 PM,06:04 AM,08:38 AM,06:04 PM,-7,-8,-3,-8,21,13,76,0.0,1027,2,10,254,14,21520
2015-01-03,3,-3,0.0,4.8,1,85,05:12 PM,06:59 AM,08:38 AM,06:05 PM,-1,-4,0,-4,24,68,88,4.0,1024,3,8,131,14,21520
2015-01-04,12,1,0.0,6.5,2,92,06:04 PM,07:49 AM,08:38 AM,06:06 PM,6,4,8,4,38,82,92,5.4,1012,12,8,237,24,21520
2015-01-05,-7,-10,0.0,9.7,1,99,07:00 PM,08:34 AM,08:38 AM,06:07 PM,-14,-16,-7,-16,35,43,61,0.2,1029,-7,8,286,29,21520
2015-01-06,-5,-10,4.3,4.9,1,95,07:56 PM,09:15 AM,08:38 AM,06:08 PM,-11,-14,-8,-14,20,89,83,5.2,1024,-5,4,254,15,21520
2015-01-07,-12,-18,0.1,6.5,1,88,08:52 PM,09:51 AM,08:38 AM,06:09 PM,-17,-25,-14,-25,34,83,81,0.4,1026,-12,7,294,26,21520
2015-01-08,-11,-21,0.0,6.5,1,81,09:48 PM,10:24 AM,08:38 AM,06:10 PM,-17,-24,-16,-24,19,71,86,0.0,1031,-11,10,239,13,21520
2015-01-09,-8,-15,0.0,4.9,1,74,10:43 PM,10:54 AM,08:38 AM,06:11 PM,-12,-19,-10,-19,33,88,87,1.7,1022,-8,6,264,23,21520
2015-01-10,-9,-21,0.0,9.7,1,68,11:39 PM,11:24 AM,08:38 AM,06:12 PM,-17,-23,-15,-23,18,33,87,0.0,1035,-9,10,240,12,21520
2015-01-11,3,-12,0.2,9.8,1,61,No moonrise,11:53 AM,08:37 AM,06:13 PM,-10,-8,-4,-8,19,45,63,0.2,1034,3,10,188,10,21520
2015-01-12,5,-3,0.9,4.9,1,54,12:34 AM,12:23 PM,08:37 AM,06:14 PM,0,-2,1,-2,15,100,96,4.3,1026,5,5,259,9,21520
