date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,3,-4,0.0,8.7,2,71,03:25 PM,04:53 AM,08:26 AM,05:54 PM,-13,-6,-1,-6,27,15,40,0.0,1022,3,10,242,16,21212
2015-01-02,5,-1,0.0,8.7,2,78,04:11 PM,05:52 AM,08:26 AM,05:55 PM,-5,-2,2,-2,21,15,62,0.0,1026,5,10,286,12,21212
2015-01-03,4,-1,0.0,3.5,1,85,05:01 PM,06:47 AM,08:26 AM,05:55 PM,-1,-1,2,-1,16,67,82,2.1,1029,4,9,81,10,21212
2015-01-04,14,5,0.0,3.5,3,92,05:54 PM,07:37 AM,08:26 AM,05:56 PM,8,6,9,6,31,80,94,1.8,1013,14,9,230,18,21212
2015-01-05,1,-5,0.0,7.0,1,99,06:49 PM,08:22 AM,08:26 AM,05:57 PM,-8,-7,-1,-7,38,17,57,0.3,1025,1,9,299,25,21212
2015-01-06,-3,-7,1.9,3.5,1,95,07:45 PM,09:03 AM,08:26 AM,05:58 PM,-10,-9,-5,-9,13,65,73,2.2,1025,-3,8,246,9,21212
2015-01-07,-7,-13,0.0,8.7,1,88,08:41 PM,09:40 AM,08:26 AM,05:59 PM,-12,-17,-8,-17,35,34,72,0.0,1022,-7,9,295,23,21212
2015-01-08,-10,-15,0.0,9.7,2,81,09:37 PM,10:12 AM,08:26 AM,06:00 PM,-16,-21,-12,-21,27,19,76,0.0,1031,-10,10,249,17,21212
2015-01-09,-1,-7,0.0,9.8,1,74,10:32 PM,10:43 AM,08:26 AM,06:01 PM,-10,-12,-5,-12,30,41,67,0.0,1021,-1,10,251,18,21212
2015-01-10,-6,-14,0.0,9.8,2,68,11:28 PM,11:13 AM,08:26 AM,06:02 PM,-14,-16,-10,-16,20,1,73,0.0,1034,-6,10,272,12,21212
2015-01-11,0,-9,0.0,9.8,2,61,No moonrise,11:42 AM,08:26 AM,06:03 PM,-7,-8,-4,-8,19,28,76,0.0,1036,0,10,177,10,21212
2015-01-12,2,-0,0.0,4.9,1,54,12:23 AM,12:12 PM,08:26 AM,06:04 PM,-0,-3,1,-3,19,90,91,13.2,1026,2,7,185,11,21212
2015-01-13,-4,-7,0.0,9.8,2,47,01:20 AM,12:43 PM,08:25 AM,06:05 PM,-8,-11,-5,-11,28,24,78,0.1,1033,-4,10,63,19,21212
2015-01-14,-2,-6,0.2,4.9,1,41,02:17 AM,01:18 PM,08:25 AM,06:06 PM,-8,-9,-4,-9,16,85,71,0.2,1028,-2,9,108,12,21212
2015-01-15,2,-3,0.0,9.8,2,34,03:17 AM,01:57 PM,08:25 AM,06:07 PM,-6,-5,-1,-5,16,27,69,0.0,1020,2,10,291,10,21212
2015-01-16,5,-3,0.0,9.8,1,27,04:17 AM,02:42 PM,08:24 AM,06:08 PM,-5,-5,1,-5,31,18,67,0.0,1018,5,10,247,20,21212
2015-01-17,-1,-5,0.0,9.9,1,20,05:18 AM,03:34 PM,08:24 AM,06:09 PM,-11,-8,-2,-8,20,15,54,0.0,1027,-1,10,106,14,21212
2015-01-18,5,-0,0.0,6.6,1,13,06:16 AM,04:32 PM,08:23 AM,06:10 PM,1,-2,2,-2,20,59,93,11.9,1014,5,9,208,11,21212
2015-01-19,5,0,0.0,9.9,1,7,07:13 AM,05:37 PM,08:23 AM,06:11 PM,-2,-2,2,-2,25,35,78,0.0,1014,5,10,276,15,21212
2015-01-20,7,0,0.0,9.9,1,0,08:04 AM,06:47 PM,08:22 AM,06:13 PM,-1,1,3,1,8,36,79,0.0,1015,7,10,161,4,21212
2015-01-21,1,-3,0.0,6.6,1,7,08:50 AM,07:59 PM,08:22 AM,06:14 PM,-3,-4,-1,-4,11,66,87,3.9,1020,1,8,84,7,21212
2015-01-22,4,-4,0.0,9.9,1,14,09:33 AM,09:11 PM,08:21 AM,06:15 PM,-1,-3,0,-3,18,49,90,0.0,1025,4,8,284,11,21212
2015-01-23,3,-2,0.0,9.9,1,20,10:12 AM,10:22 PM,08:21 AM,06:16 PM,-2,-3,0,-3,14,34,85,4.7,1024,3,10,187,9,21212
2015-01-24,2,-1,0.0,8.3,1,27,10:50 AM,11:32 PM,08:20 AM,06:17 PM,-0,-4,1,-4,26,70,93,8.5,1003,2,7,253,17,21212
2015-01-25,7,-1,0.0,6.6,1,34,11:27 AM,No moonset,08:19 AM,06:18 PM,0,-1,3,-1,24,60,84,0.7,1010,7,9,226,14,21212
2015-01-26,-1,-4,2.6,5.0,1,41,12:04 PM,12:39 AM,08:19 AM,06:19 PM,-3,-9,-2,-9,32,100,93,5.5,1010,-1,3,44,23,21212
2015-01-27,-2,-6,0.9,10.0,1,48,12:43 PM,01:44 AM,08:18 AM,06:21 PM,-5,-11,-4,-11,36,77,88,1.1,1010,-2,6,333,24,21212
2015-01-28,-1,-9,0.0,10.1,2,54,01:25 PM,02:47 AM,08:17 AM,06:22 PM,-9,-14,-6,-14,37,9,79,0.0,1022,-1,10,320,22,21212
2015-01-29,-1,-8,0.1,5.0,1,61,02:10 PM,03:47 AM,08:16 AM,06:23 PM,-7,-9,-3,-9,24,61,74,0.1,1023,-1,9,184,15,21212
2015-01-30,0,-10,0.0,10.1,1,68,02:58 PM,04:42 AM,08:15 AM,06:24 PM,-5,-10,-2,-10,43,41,80,0.1,1017,0,8,302,27,21212
2015-01-31,-4,-11,0.0,10.1,2,75,03:49 PM,05:33 AM,08:15 AM,06:25 PM,-11,-15,-8,-15,32,13,77,0.0,1026,-4,10,304,21,21212
2015-02-01,2,-6,0.0,5.1,1,81,04:42 PM,06:19 AM,08:14 AM,06:26 PM,-5,-5,-1,-5,17,64,74,0.1,1022,2,10,197,10,21212
2015-02-02,7,-7,0.8,8.3,1,88,05:38 PM,07:02 AM,08:13 AM,06:28 PM,-2,-7,0,-7,41,70,87,7.5,1005,7,8,257,25,21212
2015-02-03,-1,-8,0.0,10.2,1,95,06:33 PM,07:40 AM,08:12 AM,06:29 PM,-12,-10,-4,-10,22,18,55,0.0,1026,-1,10,261,16,21212
2015-02-04,6,-3,0.0,10.2,2,98,07:29 PM,08:14 AM,08:11 AM,06:30 PM,-4,-3,2,-3,22,33,66,0.0,1021,6,10,176,13,21212
2015-02-05,-3,-8,0.0,10.0,1,92,08:24 PM,08:45 AM,08:10 AM,06:31 PM,-9,-11,-3,-11,39,33,67,0.1,1020,-3,7,323,28,21212
2015-02-06,2,-9,0.0,10.2,2,85,09:20 PM,09:16 AM,08:09 AM,06:32 PM,-15,-10,-4,-10,18,10,45,0.0,1025,2,10,272,13,21212
2015-02-07,5,-2,0.0,10.3,2,78,10:15 PM,09:45 AM,08:08 AM,06:34 PM,-7,-2,1,-2,18,31,53,0.0,1019,5,10,190,11,21212
2015-02-08,9,2,0.0,10.3,2,71,11:11 PM,10:14 AM,08:07 AM,06:35 PM,1,3,5,3,12,49,74,0.0,1012,9,10,150,6,21212
2015-02-09,3,-2,0.0,5.2,1,64,No moonrise,10:45 AM,08:06 AM,06:36 PM,-1,-4,1,-4,23,96,89,0.6,1012,3,8,47,16,21212
2015-02-10,1,-2,0.9,5.2,1,58,12:07 AM,11:18 AM,08:05 AM,06:37 PM,-3,-7,-0,-7,32,82,81,1.0,1017,1,7,55,23,21212
2015-02-11,5,-4,0.0,10.4,2,51,01:04 AM,11:54 AM,08:03 AM,06:38 PM,-7,-5,-0,-5,18,14,64,0.0,1017,5,10,194,12,21212
2015-02-12,4,-8,0.0,10.0,1,44,02:02 AM,12:34 PM,08:02 AM,06:39 PM,-6,-7,-1,-7,33,36,67,0.2,1012,4,9,279,24,21212
2015-02-13,-5,-11,0.0,10.4,2,37,03:01 AM,01:21 PM,08:01 AM,06:41 PM,-17,-16,-8,-16,27,15,47,0.0,1023,-5,10,294,21,21212
2015-02-14,3,-8,0.3,6.8,1,31,03:59 AM,02:14 PM,08:00 AM,06:42 PM,-14,-10,-3,-10,28,59,45,0.6,1009,3,7,220,20,21212
2015-02-15,-12,-15,0.0,10.8,2,24,04:55 AM,03:15 PM,07:59 AM,06:43 PM,-20,-26,-13,-26,55,16,60,0.0,1019,-12,9,311,42,21212
2015-02-16,-9,-17,2.1,7.0,1,17,05:48 AM,04:21 PM,07:57 AM,06:44 PM,-18,-21,-13,-21,20,56,67,2.5,1026,-9,9,267,14,21212
2015-02-17,-5,-11,2.6,10.1,1,10,06:37 AM,05:32 PM,07:56 AM,06:45 PM,-11,-15,-9,-15,13,57,89,3.0,1015,-5,7,192,9,21212
2015-02-18,-4,-11,0.0,8.5,1,3,07:23 AM,06:44 PM,07:55 AM,06:46 PM,-10,-12,-7,-12,20,52,81,0.5,1012,-4,9,210,12,21212
2015-02-19,-10,-15,0.3,7.0,1,3,08:04 AM,07:58 PM,07:54 AM,06:47 PM,-16,-23,-13,-23,39,56,79,0.5,1017,-10,8,293,25,21212
2015-02-20,-10,-20,0.0,11.0,2,10,08:44 AM,09:10 PM,07:52 AM,06:49 PM,-18,-24,-16,-24,27,13,80,0.0,1030,-10,10,261,16,21212
2015-02-21,-2,-14,0.5,7.0,1,17,09:23 AM,10:21 PM,07:51 AM,06:50 PM,-8,-15,-8,-15,31,78,94,9.5,1028,-2,6,182,19,21212
2015-02-22,2,1,0.0,5.5,1,24,10:01 AM,11:31 PM,07:50 AM,06:51 PM,1,-2,1,-2,12,100,98,4.2,1022,2,4,211,7,21212
2015-02-23,-6,-12,0.1,11.0,1,30,10:41 AM,No moonset,07:48 AM,06:52 PM,-9,-15,-7,-15,35,38,83,0.1,1029,-6,7,337,22,21212
2015-02-24,-7,-16,0.0,10.1,1,37,11:24 AM,12:36 AM,07:47 AM,06:53 PM,-13,-17,-11,-17,18,24,83,0.0,1023,-7,10,157,11,21212
2015-02-25,1,-8,0.0,11.1,2,44,12:08 PM,01:39 AM,07:46 AM,06:54 PM,-5,-7,-3,-7,16,37,86,0.0,1013,1,10,230,9,21212
2015-02-26,-1,-6,1.2,8.6,1,51,12:56 PM,02:37 AM,07:44 AM,06:55 PM,-5,-9,-3,-9,20,82,90,1.4,1016,-1,8,124,13,21212
2015-02-27,-5,-9,0.4,8.6,1,58,01:46 PM,03:30 AM,07:43 AM,06:56 PM,-8,-12,-6,-12,20,64,87,0.5,1030,-5,9,223,13,21212
