date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,2,-5,0.0,8.7,2,71,03:25 PM,04:54 AM,08:28 AM,05:54 PM,-14,-7,-2,-7,28,14,39,0.0,1021,2,10,240,16,21074
2015-01-02,4,-2,0.0,8.7,2,78,04:11 PM,05:53 AM,08:28 AM,05:55 PM,-6,-4,0,-4,20,11,62,0.0,1026,4,10,281,11,21074
2015-01-03,3,-2,0.0,3.5,1,85,05:01 PM,06:48 AM,08:28 AM,05:56 PM,-2,-3,1,-3,17,71,82,3.0,1029,3,10,103,10,21074
2015-01-04,12,4,0.0,3.5,2,92,05:55 PM,07:39 AM,08:28 AM,05:57 PM,6,4,7,4,29,81,94,3.3,1013,12,6,225,16,21074
2015-01-05,-1,-6,0.0,7.0,1,99,06:49 PM,08:24 AM,08:28 AM,05:57 PM,-10,-9,-2,-9,39,20,57,0.2,1025,-1,9,298,26,21074
2015-01-06,-5,-8,3.6,3.5,1,95,07:46 PM,09:04 AM,08:28 AM,05:58 PM,-11,-11,-6,-11,14,65,71,4.2,1025,-5,7,274,9,21074
2015-01-07,-8,-14,0.0,5.2,1,88,08:41 PM,09:41 AM,08:28 AM,05:59 PM,-14,-18,-9,-18,34,39,72,0.1,1022,-8,9,290,22,21074
2015-01-08,-11,-16,0.0,9.7,2,81,09:38 PM,10:14 AM,08:28 AM,06:00 PM,-17,-22,-13,-22,28,28,75,0.0,1031,-11,10,243,17,21074
2015-01-09,-2,-9,0.0,9.7,1,74,10:33 PM,10:44 AM,08:28 AM,06:01 PM,-11,-14,-6,-14,29,40,68,0.0,1021,-2,10,249,17,21074
2015-01-10,-8,-15,0.0,9.7,2,68,11:29 PM,11:14 AM,08:28 AM,06:02 PM,-15,-19,-12,-19,20,2,73,0.0,1034,-8,10,266,12,21074
2015-01-11,-1,-10,0.0,9.8,2,61,No moonrise,11:43 AM,08:27 AM,06:03 PM,-9,-10,-5,-10,18,31,77,0.1,1036,-1,10,177,10,21074
2015-01-12,2,-1,0.4,4.9,1,54,12:24 AM,12:13 PM,08:27 AM,06:04 PM,-1,-4,0,-4,19,86,92,12.9,1026,2,8,228,12,21074
2015-01-13,-6,-9,0.4,9.8,2,47,01:21 AM,12:44 PM,08:27 AM,06:05 PM,-9,-13,-6,-13,27,25,78,0.5,1034,-6,9,110,18,21074
2015-01-14,-3,-6,0.4,4.9,1,41,02:18 AM,01:19 PM,08:27 AM,06:06 PM,-9,-8,-4,-8,11,83,70,0.5,1029,-3,9,113,8,21074
