date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-2,0.0,8.7,2,71,03:28 PM,04:53 AM,08:26 AM,05:57 PM,-11,-3,1,-3,24,15,43,0.0,1023,5,10,239,14,20603
2015-01-02,8,0,0.0,8.7,2,78,04:14 PM,05:52 AM,08:26 AM,05:58 PM,-3,1,3,1,12,11,66,0.0,1026,8,10,186,6,20603
2015-01-03,7,2,0.0,3.5,2,85,05:04 PM,06:46 AM,08:26 AM,05:59 PM,2,2,4,2,14,76,83,1.5,1029,7,7,99,8,20603
2015-01-04,17,7,0.0,4.9,3,92,05:57 PM,07:37 AM,08:26 AM,06:00 PM,10,10,12,10,29,74,92,1.7,1014,17,8,228,17,20603
2015-01-05,4,-2,0.0,9.8,2,99,06:52 PM,08:22 AM,08:26 AM,06:01 PM,-6,-3,2,-3,29,11,56,0.7,1026,4,10,305,19,20603
2015-01-06,3,-4,2.4,8.2,1,95,07:48 PM,09:03 AM,08:26 AM,06:02 PM,-8,-5,-1,-5,13,59,62,2.8,1024,3,7,221,9,20603
2015-01-07,-4,-10,0.0,9.8,1,88,08:43 PM,09:40 AM,08:26 AM,06:02 PM,-12,-13,-6,-13,31,37,64,0.0,1023,-4,9,305,21,20603
2015-01-08,-6,-12,0.0,9.8,2,81,09:39 PM,10:13 AM,08:26 AM,06:03 PM,-21,-16,-9,-16,23,12,40,0.0,1032,-6,10,258,16,20603
2015-01-09,3,-5,0.0,9.8,1,74,10:34 PM,10:44 AM,08:26 AM,06:04 PM,-13,-8,-2,-8,27,38,44,0.0,1022,3,10,259,18,20603
2015-01-10,-1,-9,0.0,9.8,2,68,11:29 PM,11:14 AM,08:25 AM,06:05 PM,-15,-10,-5,-10,19,1,45,0.0,1034,-1,10,282,13,20603
2015-01-11,3,-6,0.0,9.8,2,61,No moonrise,11:44 AM,08:25 AM,06:06 PM,-9,-5,-1,-5,16,25,58,0.0,1036,3,10,185,9,20603
2015-01-12,3,1,0.0,4.9,1,54,12:24 AM,12:14 PM,08:25 AM,06:07 PM,-1,-1,2,-1,14,97,85,16.3,1026,3,8,196,8,20603
2015-01-13,-1,-4,0.1,9.8,2,47,01:20 AM,12:46 PM,08:25 AM,06:08 PM,-5,-7,-1,-7,23,18,76,2.3,1032,-1,10,103,15,20603
2015-01-14,-1,-4,2.2,4.9,1,41,02:18 AM,01:21 PM,08:24 AM,06:09 PM,-5,-7,-2,-7,16,92,80,2.6,1027,-1,5,224,11,20603
2015-01-15,2,-4,0.0,9.9,2,34,03:17 AM,02:00 PM,08:24 AM,06:10 PM,-4,-4,-1,-4,12,23,83,0.0,1021,2,10,236,7,20603
2015-01-16,7,-1,0.0,9.9,2,27,04:17 AM,02:45 PM,08:24 AM,06:11 PM,-3,-2,2,-2,19,17,75,0.0,1018,7,10,277,11,20603
2015-01-17,2,-3,0.0,9.9,1,20,05:18 AM,03:37 PM,08:23 AM,06:12 PM,-8,-5,-1,-5,20,36,61,0.0,1027,2,10,113,13,20603
2015-01-18,6,0,0.0,6.6,1,13,06:16 AM,04:35 PM,08:23 AM,06:14 PM,2,-0,3,-0,22,61,95,36.4,1014,6,7,213,11,20603
2015-01-19,7,1,0.0,9.9,1,7,07:12 AM,05:41 PM,08:22 AM,06:15 PM,0,1,4,1,17,28,80,0.0,1015,7,10,238,10,20603
2015-01-20,9,1,0.0,9.9,2,0,08:04 AM,06:50 PM,08:22 AM,06:16 PM,0,3,5,3,12,36,74,0.0,1014,9,10,108,7,20603
2015-01-21,3,-1,0.0,8.3,1,7,08:51 AM,08:01 PM,08:21 AM,06:17 PM,-1,-2,1,-2,13,62,87,3.2,1020,3,8,77,8,20603
2015-01-22,7,-1,0.0,10.0,1,14,09:34 AM,09:13 PM,08:21 AM,06:18 PM,-1,-1,2,-1,16,28,84,0.0,1025,7,8,271,10,20603
2015-01-23,6,-1,0.0,8.3,1,20,10:13 AM,10:23 PM,08:20 AM,06:19 PM,-2,-0,2,-0,10,64,79,9.2,1024,6,9,214,6,20603
2015-01-24,4,1,0.0,8.3,1,27,10:51 AM,11:33 PM,08:20 AM,06:20 PM,1,-2,2,-2,26,67,92,28.0,1003,4,7,243,16,20603
2015-01-25,9,-0,0.0,10.0,2,34,11:29 AM,No moonset,08:19 AM,06:21 PM,1,1,4,1,19,44,81,0.1,1010,9,10,213,11,20603
2015-01-26,4,-1,2.4,5.0,1,41,12:06 PM,12:40 AM,08:18 AM,06:22 PM,0,-3,2,-3,26,96,90,7.1,1008,4,5,102,18,20603
