date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-2,0.0,8.7,2,71,03:27 PM,04:54 AM,08:27 AM,05:57 PM,-12,-4,0,-4,20,16,41,0.0,1022,4,10,238,12,20810
2015-01-02,7,-0,0.0,8.7,2,78,04:14 PM,05:53 AM,08:27 AM,05:58 PM,-4,-0,3,-0,14,10,62,0.0,1026,7,10,255,8,20810
2015-01-03,6,1,0.0,3.5,1,85,05:04 PM,06:48 AM,08:27 AM,05:58 PM,0,0,3,0,14,69,81,2.1,1029,6,5,101,9,20810
2015-01-04,15,5,0.0,3.5,3,92,05:57 PM,07:38 AM,08:27 AM,05:59 PM,9,7,10,7,25,79,94,2.1,1013,15,9,227,15,20810
2015-01-05,2,-3,0.0,9.7,1,99,06:52 PM,08:23 AM,08:27 AM,06:00 PM,-8,-5,0,-5,31,14,57,0.2,1026,2,9,301,21,20810
2015-01-06,0,-6,5.8,6.6,1,95,07:48 PM,09:04 AM,08:27 AM,06:01 PM,-9,-7,-3,-7,12,70,72,6.8,1024,0,6,217,8,20810
2015-01-07,-6,-12,0.0,9.8,1,88,08:43 PM,09:41 AM,08:27 AM,06:02 PM,-12,-15,-8,-15,30,29,71,0.1,1023,-6,8,295,20,20810
2015-01-08,-7,-15,0.0,9.8,2,81,09:39 PM,10:14 AM,08:27 AM,06:03 PM,-16,-19,-11,-19,21,14,68,0.0,1032,-7,10,246,14,20810
2015-01-09,0,-7,0.0,9.8,1,74,10:34 PM,10:45 AM,08:27 AM,06:04 PM,-11,-10,-4,-10,25,34,61,0.0,1021,0,10,249,16,20810
2015-01-10,-1,-12,0.0,9.8,2,68,11:30 PM,11:15 AM,08:27 AM,06:05 PM,-14,-12,-7,-12,16,1,59,0.0,1034,-1,10,269,12,20810
2015-01-11,2,-7,0.0,9.8,2,61,No moonrise,11:44 AM,08:27 AM,06:06 PM,-9,-6,-3,-6,15,31,64,0.3,1036,2,9,177,9,20810
2015-01-12,3,0,0.0,4.9,1,54,12:25 AM,12:14 PM,08:26 AM,06:07 PM,-0,-2,1,-2,16,94,88,18.5,1026,3,5,191,9,20810
2015-01-13,-3,-6,0.4,9.8,2,47,01:21 AM,12:46 PM,08:26 AM,06:08 PM,-6,-9,-3,-9,22,30,78,0.5,1033,-3,10,107,15,20810
2015-01-14,-1,-5,1.6,4.9,1,41,02:19 AM,01:21 PM,08:26 AM,06:09 PM,-7,-7,-3,-7,11,80,75,2.0,1028,-1,7,147,9,20810
2015-01-15,4,-3,0.0,9.8,2,34,03:18 AM,02:00 PM,08:26 AM,06:10 PM,-4,-3,-0,-3,11,11,77,0.0,1021,4,9,281,7,20810
2015-01-16,6,-1,0.0,9.9,1,27,04:18 AM,02:45 PM,08:25 AM,06:11 PM,-3,-2,1,-2,21,26,73,0.0,1018,6,10,234,14,20810
2015-01-17,1,-3,0.0,9.9,1,20,05:19 AM,03:37 PM,08:25 AM,06:12 PM,-8,-6,-1,-6,16,35,61,0.0,1027,1,10,119,11,20810
2015-01-18,6,-0,0.0,6.6,1,13,06:18 AM,04:35 PM,08:24 AM,06:13 PM,2,-1,2,-1,18,57,95,14.8,1014,6,9,215,10,20810
2015-01-19,6,-0,0.0,9.9,1,7,07:14 AM,05:40 PM,08:24 AM,06:14 PM,-0,-1,2,-1,16,28,83,0.0,1015,6,10,282,10,20810
2015-01-20,8,0,0.0,9.9,1,0,08:05 AM,06:49 PM,08:23 AM,06:15 PM,-0,3,3,3,9,39,77,0.0,1015,8,10,137,5,20810
2015-01-21,2,-1,3.4,5.0,1,7,08:52 AM,08:01 PM,08:23 AM,06:16 PM,-1,-3,0,-3,11,76,92,9.6,1020,2,6,100,7,20810
