date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:26 PM,04:52 AM,08:24 AM,05:56 PM,-9,-3,2,-3,29,16,44,0.0,1023,5,10,243,17,20758
2015-01-02,7,1,0.0,8.7,2,78,04:12 PM,05:50 AM,08:24 AM,05:56 PM,-3,1,4,1,16,11,62,0.0,1026,7,10,258,9,20758
2015-01-03,8,2,0.0,5.2,2,85,05:02 PM,06:45 AM,08:25 AM,05:57 PM,1,2,5,2,15,64,80,1.0,1029,8,8,96,10,20758
2015-01-04,16,7,0.0,3.5,3,92,05:55 PM,07:36 AM,08:25 AM,05:58 PM,10,9,11,9,37,74,92,2.1,1014,16,8,227,21,20758
2015-01-05,4,-2,0.0,8.7,2,99,06:50 PM,08:21 AM,08:25 AM,05:59 PM,-6,-3,2,-3,36,11,56,0.0,1026,4,10,303,25,20758
2015-01-06,1,-4,1.4,8.2,1,95,07:46 PM,09:02 AM,08:25 AM,06:00 PM,-8,-6,-2,-6,14,53,67,1.7,1024,1,8,214,10,20758
2015-01-07,-4,-9,0.0,9.8,1,88,08:42 PM,09:38 AM,08:25 AM,06:01 PM,-10,-13,-5,-13,37,37,69,0.0,1022,-4,8,303,27,20758
2015-01-08,-7,-12,0.0,9.8,2,81,09:37 PM,10:11 AM,08:24 AM,06:02 PM,-15,-17,-9,-17,28,14,62,0.0,1032,-7,10,262,20,20758
2015-01-09,2,-4,0.0,9.8,1,74,10:32 PM,10:43 AM,08:24 AM,06:03 PM,-9,-9,-2,-9,33,32,57,0.0,1022,2,10,259,22,20758
2015-01-10,-3,-9,0.0,9.8,2,68,11:27 PM,11:13 AM,08:24 AM,06:04 PM,-13,-12,-6,-12,23,0,60,0.0,1034,-3,10,273,16,20758
2015-01-11,3,-5,0.0,9.8,2,61,No moonrise,11:42 AM,08:24 AM,06:04 PM,-7,-5,-1,-5,21,28,66,0.0,1036,3,10,180,12,20758
2015-01-12,3,1,0.0,4.9,1,54,12:22 AM,12:12 PM,08:24 AM,06:05 PM,0,-2,2,-2,17,93,87,14.1,1026,3,6,211,10,20758
2015-01-13,-1,-3,0.0,9.8,2,47,01:19 AM,12:44 PM,08:24 AM,06:07 PM,-5,-8,-1,-8,29,21,75,0.5,1032,-1,10,61,20,20758
2015-01-14,-0,-4,0.5,4.9,1,41,02:16 AM,01:19 PM,08:23 AM,06:08 PM,-5,-7,-2,-7,21,84,79,0.9,1027,-0,8,105,16,20758
2015-01-15,2,-2,0.0,9.9,2,34,03:16 AM,01:58 PM,08:23 AM,06:09 PM,-4,-4,0,-4,18,19,76,0.0,1021,2,10,289,11,20758
2015-01-16,6,-0,0.0,9.9,2,27,04:15 AM,02:43 PM,08:23 AM,06:10 PM,-3,-3,2,-3,31,16,71,0.0,1018,6,10,242,19,20758
2015-01-17,1,-3,0.0,9.9,1,20,05:16 AM,03:35 PM,08:22 AM,06:11 PM,-9,-6,-1,-6,25,21,56,0.0,1027,1,10,106,17,20758
2015-01-18,6,2,0.0,6.6,1,13,06:15 AM,04:33 PM,08:22 AM,06:12 PM,3,-0,4,-0,26,63,92,19.2,1014,6,7,215,14,20758
2015-01-19,6,2,0.0,9.9,1,7,07:11 AM,05:39 PM,08:21 AM,06:13 PM,-0,0,4,0,23,21,76,0.0,1015,6,10,280,14,20758
2015-01-20,7,2,0.0,9.9,2,0,08:02 AM,06:48 PM,08:21 AM,06:14 PM,-0,3,4,3,10,29,73,0.0,1015,7,10,110,6,20758
2015-01-21,2,-1,0.0,5.0,1,7,08:49 AM,07:59 PM,08:20 AM,06:15 PM,-1,-2,1,-2,17,61,83,3.2,1020,2,10,84,11,20758
2015-01-22,5,-1,0.0,10.0,2,14,09:32 AM,09:11 PM,08:20 AM,06:16 PM,-0,-1,2,-1,18,31,85,0.0,1025,5,10,269,11,20758
2015-01-23,4,-0,0.0,8.3,1,20,10:12 AM,10:22 PM,08:19 AM,06:17 PM,-1,-1,2,-1,13,58,79,7.6,1024,4,9,182,9,20758
2015-01-24,4,2,0.0,8.3,1,27,10:50 AM,11:31 PM,08:18 AM,06:18 PM,1,-3,2,-3,34,67,88,11.0,1003,4,9,207,22,20758
2015-01-25,8,1,0.0,8.3,2,34,11:27 AM,No moonset,08:18 AM,06:20 PM,1,1,5,1,25,48,77,0.1,1010,8,10,222,15,20758
2015-01-26,3,-1,0.0,5.0,1,41,12:05 PM,12:38 AM,08:17 AM,06:21 PM,0,-4,2,-4,36,100,89,4.5,1008,3,4,52,26,20758
2015-01-27,1,-2,0.0,6.7,1,48,12:44 PM,01:43 AM,08:16 AM,06:22 PM,-3,-8,-1,-8,39,86,83,0.9,1009,1,2,334,28,20758
2015-01-28,1,-5,0.0,10.1,2,54,01:26 PM,02:46 AM,08:16 AM,06:23 PM,-8,-9,-2,-9,36,11,66,0.0,1022,1,10,326,25,20758
2015-01-29,2,-2,0.0,6.7,1,61,02:11 PM,03:45 AM,08:15 AM,06:24 PM,-7,-5,0,-5,26,58,58,0.1,1023,2,10,187,17,20758
2015-01-30,3,-6,0.0,8.3,1,68,02:59 PM,04:40 AM,08:14 AM,06:25 PM,-5,-7,1,-7,47,51,69,0.4,1017,3,9,300,33,20758
2015-01-31,-1,-7,0.0,10.1,2,75,03:51 PM,05:32 AM,08:13 AM,06:26 PM,-11,-11,-4,-11,33,10,57,0.0,1026,-1,10,307,25,20758
2015-02-01,4,-2,0.0,8.3,1,81,04:44 PM,06:18 AM,08:12 AM,06:28 PM,-5,-2,1,-2,19,57,67,0.7,1022,4,9,193,12,20758
2015-02-02,9,-4,0.0,6.7,1,88,05:39 PM,07:00 AM,08:11 AM,06:29 PM,1,-3,3,-3,51,80,83,5.0,1005,9,8,262,32,20758
2015-02-03,1,-4,0.0,10.2,2,95,06:34 PM,07:38 AM,08:11 AM,06:30 PM,-12,-8,-2,-8,24,13,49,0.0,1026,1,10,268,17,20758
2015-02-04,7,-0,0.0,10.2,2,98,07:30 PM,08:13 AM,08:10 AM,06:31 PM,-3,-2,3,-2,33,18,63,0.0,1021,7,10,192,19,20758
2015-02-05,0,-5,0.0,10.2,1,92,08:25 PM,08:45 AM,08:09 AM,06:32 PM,-7,-8,-1,-8,44,21,66,0.0,1020,0,9,316,31,20758
2015-02-06,3,-6,0.0,10.3,2,85,09:20 PM,09:15 AM,08:08 AM,06:33 PM,-14,-8,-2,-8,24,11,41,0.0,1025,3,10,268,17,20758
2015-02-07,6,-1,0.0,10.3,2,78,10:15 PM,09:45 AM,08:07 AM,06:35 PM,-6,-1,3,-1,19,23,54,0.0,1020,6,10,187,11,20758
2015-02-08,13,3,0.0,10.3,3,71,11:10 PM,10:15 AM,08:06 AM,06:36 PM,2,5,7,5,16,23,74,0.0,1012,13,10,174,8,20758
2015-02-09,4,0,0.0,6.8,1,64,No moonrise,10:45 AM,08:05 AM,06:37 PM,1,-2,3,-2,28,78,87,1.1,1011,4,9,36,20,20758
2015-02-10,3,-1,0.4,5.2,1,58,12:06 AM,11:19 AM,08:03 AM,06:38 PM,-1,-6,1,-6,37,97,85,6.0,1016,3,7,12,26,20758
2015-02-11,4,-1,0.0,10.4,2,51,01:03 AM,11:55 AM,08:02 AM,06:39 PM,-4,-3,1,-3,22,19,68,0.0,1017,4,10,104,15,20758
2015-02-12,4,-4,0.2,8.4,1,44,02:01 AM,12:36 PM,08:01 AM,06:40 PM,-4,-5,1,-5,33,42,71,0.9,1012,4,8,274,23,20758
2015-02-13,-3,-8,0.0,10.4,2,37,03:00 AM,01:23 PM,08:00 AM,06:41 PM,-17,-13,-6,-13,28,9,42,0.0,1023,-3,10,297,23,20758
2015-02-14,5,-4,0.0,7.0,1,31,03:58 AM,02:16 PM,07:59 AM,06:43 PM,-11,-7,-1,-7,38,59,45,1.0,1010,5,9,229,27,20758
2015-02-15,-8,-11,0.0,10.9,1,24,04:54 AM,03:16 PM,07:58 AM,06:44 PM,-18,-22,-10,-22,55,12,52,0.0,1019,-8,9,310,46,20758
2015-02-16,-8,-13,3.7,7.0,1,17,05:47 AM,04:22 PM,07:57 AM,06:45 PM,-16,-18,-11,-18,21,66,68,4.4,1026,-8,7,268,16,20758
2015-02-17,-4,-8,3.8,7.0,1,10,06:36 AM,05:32 PM,07:55 AM,06:46 PM,-9,-13,-7,-13,16,77,86,4.5,1014,-4,8,200,12,20758
2015-02-18,-1,-8,0.3,8.5,1,3,07:22 AM,06:45 PM,07:54 AM,06:47 PM,-8,-10,-5,-10,23,60,78,1.4,1012,-1,8,201,14,20758
2015-02-19,-9,-13,0.0,8.5,1,3,08:04 AM,07:58 PM,07:53 AM,06:48 PM,-15,-21,-11,-21,44,38,75,0.2,1018,-9,9,290,28,20758
2015-02-20,-9,-18,0.0,10.1,1,10,08:44 AM,09:10 PM,07:52 AM,06:49 PM,-17,-22,-14,-22,29,22,77,0.0,1030,-9,10,272,18,20758
2015-02-21,0,-12,0.5,7.0,1,17,09:23 AM,10:21 PM,07:50 AM,06:50 PM,-7,-12,-6,-12,27,65,89,10.0,1029,0,8,188,17,20758
2015-02-22,2,1,0.0,5.5,1,24,10:02 AM,11:30 PM,07:49 AM,06:51 PM,1,-1,1,-1,12,100,99,2.6,1022,2,3,187,6,20758
2015-02-23,-2,-8,0.0,10.1,1,30,10:42 AM,No moonset,07:48 AM,06:53 PM,-6,-10,-3,-10,34,55,81,0.2,1028,-2,6,348,22,20758
2015-02-24,-5,-12,0.0,11.1,1,37,11:25 AM,12:35 AM,07:46 AM,06:54 PM,-11,-14,-8,-14,19,31,77,0.0,1023,-5,10,119,13,20758
2015-02-25,2,-6,0.0,10.1,1,44,12:09 PM,01:38 AM,07:45 AM,06:55 PM,-5,-6,-2,-6,17,41,82,0.0,1013,2,10,238,9,20758
2015-02-26,-0,-3,2.0,7.1,1,51,12:57 PM,02:35 AM,07:44 AM,06:56 PM,-3,-6,-2,-6,20,84,89,2.4,1015,-0,7,60,13,20758
2015-02-27,-2,-5,0.7,7.1,1,58,01:48 PM,03:28 AM,07:42 AM,06:57 PM,-5,-8,-3,-8,18,81,86,0.8,1030,-2,7,232,11,20758
2015-02-28,-3,-9,0.0,11.2,2,64,02:40 PM,04:16 AM,07:41 AM,06:58 PM,-11,-11,-7,-11,14,13,74,0.0,1042,-3,10,226,8,20758
2015-03-01,-1,-7,0.3,5.6,1,71,03:34 PM,05:00 AM,07:39 AM,06:59 PM,-5,-8,-3,-8,14,84,89,4.7,1034,-1,8,166,9,20758
2015-03-02,2,-2,0.0,11.6,2,78,04:28 PM,05:39 AM,07:38 AM,07:00 PM,-1,-4,0,-4,29,42,90,0.1,1025,2,10,301,16,20758
2015-03-03,1,-5,0.0,5.8,1,85,05:24 PM,06:14 AM,07:36 AM,07:01 PM,-4,-6,-1,-6,25,69,83,1.2,1026,1,8,159,16,20758
2015-03-04,5,4,0.0,7.3,1,91,06:19 PM,06:47 AM,07:35 AM,07:02 PM,4,2,4,2,23,87,97,5.9,1013,5,6,174,12,20758
2015-03-05,1,-5,4.5,5.9,1,98,07:14 PM,07:18 AM,07:33 AM,07:03 PM,-2,-8,-1,-8,34,95,92,16.2,1022,1,4,178,22,20758
2015-03-06,-3,-12,0.0,11.6,2,95,08:09 PM,07:48 AM,07:32 AM,07:04 PM,-13,-14,-8,-14,20,0,71,0.0,1033,-3,10,267,13,20758
2015-03-07,3,-9,0.0,11.6,2,88,09:04 PM,08:18 AM,07:31 AM,07:05 PM,-5,-7,-2,-7,28,14,81,0.0,1025,3,10,217,15,20758
2015-03-08,7,2,0.0,11.6,2,82,10:00 PM,08:48 AM,07:29 AM,07:06 PM,2,1,4,1,25,21,87,0.0,1022,7,10,197,12,20758
