date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,3,-2,0.0,8.7,2,71,03:26 PM,04:54 AM,08:27 AM,05:56 PM,-12,-5,-0,-5,23,15,41,0.0,1022,3,10,239,14,20759
2015-01-02,6,-0,0.0,8.7,2,78,04:13 PM,05:53 AM,08:27 AM,05:56 PM,-4,-1,2,-1,16,19,62,0.0,1026,6,10,295,9,20759
2015-01-03,5,1,0.0,3.5,1,85,05:03 PM,06:47 AM,08:27 AM,05:57 PM,0,-0,3,-0,15,66,81,1.6,1029,5,8,96,9,20759
2015-01-04,15,5,0.0,3.5,3,92,05:56 PM,07:38 AM,08:27 AM,05:58 PM,8,6,9,6,27,77,94,5.5,1013,15,8,228,16,20759
2015-01-05,1,-4,0.0,7.0,1,99,06:51 PM,08:23 AM,08:27 AM,05:59 PM,-8,-6,-0,-6,33,14,57,0.6,1026,1,9,299,22,20759
2015-01-06,-1,-6,6.1,6.5,1,95,07:47 PM,09:04 AM,08:27 AM,06:00 PM,-9,-8,-4,-8,12,67,72,7.2,1024,-1,5,213,8,20759
2015-01-07,-6,-13,0.0,9.7,1,88,08:42 PM,09:41 AM,08:27 AM,06:01 PM,-12,-16,-8,-16,32,30,72,0.0,1023,-6,9,294,21,20759
2015-01-08,-8,-15,0.0,9.8,2,81,09:38 PM,10:13 AM,08:27 AM,06:02 PM,-16,-19,-12,-19,23,14,70,0.0,1031,-8,10,247,15,20759
2015-01-09,-0,-7,0.0,9.8,1,74,10:33 PM,10:44 AM,08:27 AM,06:03 PM,-10,-11,-4,-11,27,35,63,0.0,1021,-0,9,250,17,20759
2015-01-10,-2,-13,0.0,9.8,2,68,11:29 PM,11:14 AM,08:27 AM,06:04 PM,-14,-14,-8,-14,18,1,61,0.0,1034,-2,10,268,12,20759
2015-01-11,1,-7,0.0,9.8,2,61,No moonrise,11:44 AM,08:26 AM,06:05 PM,-8,-7,-3,-7,16,31,66,0.2,1036,1,9,177,9,20759
2015-01-12,2,0,0.0,4.9,1,54,12:24 AM,12:13 PM,08:26 AM,06:06 PM,-0,-2,1,-2,16,92,89,20.2,1026,2,7,191,10,20759
2015-01-13,-3,-6,0.6,9.8,2,47,01:21 AM,12:45 PM,08:26 AM,06:07 PM,-7,-10,-3,-10,23,32,77,0.7,1033,-3,10,109,16,20759
